dataset,row_number,field,defect_class,original_value
Works Completed.csv,23540,Work Description,MISSING_OR_BLANK,
Works Completed.csv,23541,Work Description,MISSING_OR_BLANK,
Works Completed.csv,27002,Work Description,MISSING_OR_BLANK, 
Works Completed.csv,27002,Hon'ble Members of Parliament,MISSING_OR_BLANK, 
Works Completed.csv,27002,Constituency,MISSING_OR_BLANK, 
Works Completed.csv,2,Image,MISSING_OR_BLANK,
Works Completed.csv,3,Image,MISSING_OR_BLANK,
Works Completed.csv,4,Image,MISSING_OR_BLANK,
Works Completed.csv,5,Image,MISSING_OR_BLANK,
Works Completed.csv,6,Image,MISSING_OR_BLANK,
Works Completed.csv,7,Image,MISSING_OR_BLANK,
Works Completed.csv,9,Image,MISSING_OR_BLANK,
Works Completed.csv,10,Image,MISSING_OR_BLANK,
Works Completed.csv,11,Image,MISSING_OR_BLANK,
Works Completed.csv,12,Image,MISSING_OR_BLANK,
Works Completed.csv,13,Image,MISSING_OR_BLANK,
Works Completed.csv,14,Image,MISSING_OR_BLANK,
Works Completed.csv,15,Image,MISSING_OR_BLANK,
Works Completed.csv,16,Image,MISSING_OR_BLANK,
Works Completed.csv,28,Image,MISSING_OR_BLANK,
Works Completed.csv,29,Image,MISSING_OR_BLANK,
Works Completed.csv,34,Image,MISSING_OR_BLANK,
Works Completed.csv,35,Image,MISSING_OR_BLANK,
Works Completed.csv,36,Image,MISSING_OR_BLANK,
Works Completed.csv,37,Image,MISSING_OR_BLANK,
Works Completed.csv,38,Image,MISSING_OR_BLANK,
Works Completed.csv,39,Image,MISSING_OR_BLANK,
Works Completed.csv,41,Image,MISSING_OR_BLANK,
Works Completed.csv,42,Image,MISSING_OR_BLANK,
Works Completed.csv,43,Image,MISSING_OR_BLANK,
Works Completed.csv,44,Image,MISSING_OR_BLANK,
Works Completed.csv,45,Image,MISSING_OR_BLANK,
Works Completed.csv,46,Image,MISSING_OR_BLANK,
Works Completed.csv,47,Image,MISSING_OR_BLANK,
Works Completed.csv,73,Image,MISSING_OR_BLANK,
Works Completed.csv,74,Image,MISSING_OR_BLANK,
Works Completed.csv,75,Image,MISSING_OR_BLANK,
Works Completed.csv,76,Image,MISSING_OR_BLANK,
Works Completed.csv,77,Image,MISSING_OR_BLANK,
Works Completed.csv,85,Image,MISSING_OR_BLANK,
Works Completed.csv,86,Image,MISSING_OR_BLANK,
Works Completed.csv,87,Image,MISSING_OR_BLANK,
Works Completed.csv,88,Image,MISSING_OR_BLANK,
Works Completed.csv,89,Image,MISSING_OR_BLANK,
Works Completed.csv,90,Image,MISSING_OR_BLANK,
Works Completed.csv,91,Image,MISSING_OR_BLANK,
Works Completed.csv,92,Image,MISSING_OR_BLANK,
Works Completed.csv,93,Image,MISSING_OR_BLANK,
Works Completed.csv,94,Image,MISSING_OR_BLANK,
Works Completed.csv,95,Image,MISSING_OR_BLANK,
Works Completed.csv,96,Image,MISSING_OR_BLANK,
Works Completed.csv,97,Image,MISSING_OR_BLANK,
