allocation_id,state,constituency,honble_members_of_parliament
ALLOC_d5587bb1ffba6ed0d3c1,Uttar Pradesh,GAUTAM BUDDHA NAGAR,Mahesh Sharma
ALLOC_4142c60e4657bb5f5707,Rajasthan,RAJSAMAND,MAHIMA KUMARI MEWAR
ALLOC_b27164fd573b2c00b657,Uttarakhand,TEHRI GARHWAL,Mala Rajya Laxmi Shah
ALLOC_90e37e404f217ba698a9,West Bengal,KOLKATA DAKSHIN,Mala Roy
ALLOC_5c5c0f83dc613333833e,Tamil Nadu,KALLAKURICHI,MALAIYARASAN D
ALLOC_5bbc6b13fd01ef002009,Odisha,KALAHANDI,MALVIKA DEVI
ALLOC_402de16c648f94ae731a,Punjab,ANANDPUR SAHIB,MALVINDER SINGH KANG
ALLOC_71457215279b58f2e063,Tamil Nadu,DHARAMAPURI,MANI. A.
ALLOC_f8c0f1311ad70dc9ef24,Tamil Nadu,VIRUDHUNAGAR,Manickam Tagore B
ALLOC_1b5a6b9d88a479613904,Jharkhand,HAZARIBAGH,MANISH JAISWAL
ALLOC_c8a75a23424d505b550b,Chandigarh,CHANDIGARH,MANISH TEWARI
ALLOC_7ad78eaa82829c769034,Rajasthan,JAIPUR,MANJU SHARMA
ALLOC_0ffbb21a489868f5ae2c,Rajasthan,UDAIPUR(ST),MANNA LAL RAWAT
ALLOC_2fa13370738c94ddbbfe,Haryana,KARNAL,MANOHAR LAL
ALLOC_912bed3be5354e3a4321,Bihar,SASARAM(SC),MANOJ KUMAR
ALLOC_e1cc5291161f9eb5adb5,West Bengal,ALIPURDUARS(ST),MANOJ TIGGA
ALLOC_50b3d147cf6cd3366e89,Delhi,NORTH EAST DELHI,Manoj Tiwari
ALLOC_f168d7a6aecd59d6f833,Gujarat,BHARUCH,Mansukhbhai Dhanjibhai Vasava
ALLOC_ecf1b9dce889242e5671,Jammu And Kashmir,ANANTNAG,MIAN ALTAF AHMAD
ALLOC_99b6990565f0d4bb6471,Andhra Pradesh,RAJAMPET,Midhun Reddy
ALLOC_430590be54a38e312346,Bihar,PATALIPUTRA,MISHA BHARTI
ALLOC_24794a7895bb25c5531c,Gujarat,ANAND,Mitesh Rameshbhai Bakabhai Patel
ALLOC_90a9f2d2bce864c8e0ce,Ladakh,LADAKH,Mohamed Haneefa
ALLOC_63faa45471e24ad76b76,Uttar Pradesh,RAMPUR,MOHIBBULLAH
ALLOC_c445b34477f3d7155fe2,Maharashtra,MADHA,MOHITE PATIL DHAIRYASHEEL RAJSINH
ALLOC_3fb35d35aec96d2436f4,Bihar,DARBHANGA,Mr Gopal Jee Thakur
ALLOC_744ab763a2329e298e93,West Bengal,KRISHNANAGAR,Ms Mahua Moitra
ALLOC_7bd0909e6ccc0b54a317,Lakshadweep,LAKSHADWEEP(ST),MUHAMMED HAMDULLAH SAYEED
ALLOC_2caf17d8d8617ab63d68,Uttar Pradesh,FARRUKHABAD,Mukesh Rajput
ALLOC_a789365878291c940ad2,Gujarat,SURAT,MUKESHKUMAR CHANDRAKAANT DALAL
ALLOC_18285c61927dac5fcb05,Rajasthan,DAUSA(ST),MURARI LAL MEENA
ALLOC_ce896bbcd1471a981610,Tamil Nadu,THANJAVUR,MURASOLI S
ALLOC_9049b482d2645e7b1a45,Maharashtra,PUNE,MURLIDHAR MOHOL
ALLOC_50639807ade02df770ba,Odisha,MAYURBHANJ (ST),NABA CHARAN MAJHI
ALLOC_545be7da14e64184daea,Jharkhand,DUMKA(ST),NALIN SOREN
ALLOC_09a6a4b68331d70f2c3d,Uttar Pradesh,JALAUN(SC),NARAYAN DAS AHIRWAR
ALLOC_f8b12396a6808b938874,Maharashtra,RATNAGIRI-SINDHUDURG,NARAYAN TATU RANE
ALLOC_95250883cac942fede43,Uttar Pradesh,FATEHPUR,NARESH CHANDRA UTTAM PATEL
ALLOC_21309c732a1b10a7cbd7,Maharashtra,THANE,NARESH GANPAT MHASKE
ALLOC_ed624d43b934a614962e,Haryana,KURUKSHETRA,NAVEEN JINDAL
ALLOC_d5af4c40db65f811c17b,Uttar Pradesh,AONLA,NEERAJ MAURYA
ALLOC_fcf7b7cd291582a589bf,Maharashtra,AHMEDNAGAR,NILESH DNYANDEV LANKE
ALLOC_026a17eabc2045a8c324,Gujarat,BHAVNAGAR,NIMUBEN JAYANTIBHAI BAMBHANIYA
ALLOC_e8bd36b28b21381bacb2,Jharkhand,GODDA,Nishikant Dubey
ALLOC_116b1ecee48f8ce00136,Maharashtra,NAGPUR,Nitin Jairam Gadkari
ALLOC_bc94208c378eafc1649b,Bihar,UJJARPUR,Nityanand Rai
ALLOC_ffad91c7c4ef612d0ce9,Rajasthan,KOTA,Om Birla
ALLOC_516c5dbae6e9f5c6e215,Maharashtra,OSMANABAD,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar
ALLOC_a038142a4411a37539bb,Karnataka,BANGALORE CENTRAL,P C Mohan
ALLOC_2d0900f9fdf0adf3eb7f,Uttar Pradesh,MAHARAJGANJ_UP,Pankaj Chowdhary
ALLOC_b73509075a663e088648,Assam,SILCHAR,PARIMAL SUKLABAIDYA
ALLOC_6091f4edf2f8efd4a2d7,Gujarat,RAJKOT,PARSHOTTAMBHAI RUPALA
ALLOC_f50b62a45f592c5ce2df,West Bengal,BARRACKPUR,PARTHA BHOWMICK
ALLOC_52792a8d8d83b9582b81,Karnataka,BAGALKOT,Parvatagouda Chandanagouda Gaddigoudar
ALLOC_a5f29e78fb0623e1e7f2,The Dadra And Nagar Haveli And Daman And Diu,DAMAN and DIU,PATEL UMESHBHAI BABUBHAI
ALLOC_5fdb7d079b643e36a3da,West Bengal,BAHARAMPUR,PATHAN YUSUF
ALLOC_336c63781c90cad5fa08,Assam,BARPETA,PHANI BHUSAN CHOUDHURY
ALLOC_95630af44f29613e1530,Maharashtra,MUMBAI NORTH,Piyush Vedprakash Goyal
ALLOC_01529c84497d3b9fd857,Andhra Pradesh,NELLORE(SC),PRABHAKAR REDDY VEMIREDDY
ALLOC_d40ef492333a9598f0bb,Gujarat,BARDOLI(ST),Prabhubhai Nagarbhai Vasava
ALLOC_e0309f60b008da47e659,Assam,LAKHIMPUR,Pradan Baruah
ALLOC_2f214f4e00e8a303e371,Bihar,ARARIA,Pradeep Kumar Singh
ALLOC_6a50ac0694325da101c0,Odisha,BARGARH,PRADEEP PUROHIT
ALLOC_2b2e60252a34039a1a7c,Assam,NOWGONG,Pradyut Bordoloi
ALLOC_b7925f7e22cc8d0eefe1,Karnataka,DHARWAD,Pralhad Venkatesh Joshi
ALLOC_17a17717f4377d9da410,Maharashtra,SOLAPUR(SC),PRANITI SUSHILKUMAR SHINDE
ALLOC_fc4381f42a50cd1684d3,West Bengal,HOWRAH,Prasun Banerjee
ALLOC_ee1b9bb9ca68aaceb039,Odisha,BALASORE,Pratap Chandra Sarangi
ALLOC_918cbcb578a3e9939d74,Maharashtra,BULDHANA,Prataprao Jadhav
ALLOC_0ca3549e96d88fcc0b3d,West Bengal,JOYNAGAR(SC),Pratima Mondal
ALLOC_a0b718ca3071c1c1a66b,Delhi,CHANDINI CHOWK,Praveen Khandelwal
ALLOC_08a23b03e24dceae1359,Uttar Pradesh,PHULPUR,PRAVEEN PATEL
ALLOC_9ef02413a563a5d56012,Uttar Pradesh,MACHHLISHAHR(SC),PRIYA SAROJ
ALLOC_d12a932e968512720c14,Kerala,WAYANAD,Priyanka Gandhi Vadra
ALLOC_16a0fef324b5cd4ed592,Karnataka,CHIKKODI,PRIYANKA SATISH JARKIHOLI
ALLOC_8bae234c89966a6bdbbd,West Bengal,DUM DUM,Prof Sougata Ray
ALLOC_d807aff573a59f4d04e4,Uttar Pradesh,AGRA(SC),Prof SP Singh Baghel
ALLOC_03aa9b68541a9feb973b,Uttar Pradesh,KAUSHAMBI(SC),PUSHPENDRA SAROJ
ALLOC_00be3b28b3ab221b1e71,Andhra Pradesh,ELURU,Putta Mahesh Kumar
ALLOC_ea1d86318390b7ce7940,Uttar Pradesh,MOHANLALGANJ(SC),R.K. CHAUDHARY
ALLOC_c8d8674dfc4ac78c106f,Odisha,JAJPUR(SC),RABINDRA NARAYAN BEHERA
ALLOC_f3a4c812819a2be1aadb,West Bengal,HOOGHLY,RACHNA BANERJEE
ALLOC_aa21344583b33c504ec9,Bihar,PURVI CHAMPARAN,Radha Mohan Singh
ALLOC_6d6579aff61ebb8a02aa,Karnataka,GULBARGA(SC),RADHAKRISHNA
ALLOC_1114845b9fb580b09f54,Chhattisgarh,RAIGARH(ST),RADHE SHYAM RATHIYA
ALLOC_85924c63be59d84d4536,Uttar Pradesh,RAE BARELI,RAHUL GANDHI
ALLOC_b9ccb0b78607db150b95,Rajasthan,CHURU,Rahul Kaswan
ALLOC_051899f582652f8fcbb9,Madhya Pradesh,DAMOH,RAHUL SINGH LODHI
ALLOC_b1ade3e5c12aa944650d,Bihar,MUZAFFARPUR,RAJ BHUSHAN CHOUDHARY
ALLOC_bf75c15c0acc7ed1ee7d,Rajasthan,BANSWARA(ST),RAJ KUMAR ROAT
ALLOC_5605c9788ee72071c821,Bihar,KARAKAT,RAJA RAM SINGH
ALLOC_352170af6897cdcedc53,Maharashtra,NASHIK,RAJABHAU
ALLOC_63569795ad4972d1e769,Himachal Pradesh,KANGRA,RAJEEV BHARDWAJ
ALLOC_e0c33d4bba3e9e07b11a,Uttar Pradesh,GHOSI,RAJEEV RAI
ALLOC_028e21ea04c4163cfe9e,Bihar,PURNEA,RAJESH RANJAN ALIAS PAPPU YADAV
ALLOC_d936f086e185ddcb4781,Bihar,KHAGARIA,RAJESH VERMA
ALLOC_cbb9c520f8aab2d18376,Gujarat,JUNAGADH,Rajeshbhai Naranbhai Chudasama
ALLOC_19c5bac2100048577840,Bihar,SARAN,Rajiv Pratap Rudy
ALLOC_d015b46f32862b9f7d64,Bihar,MUNGER,Rajiv Ranjan (Lalan) Singh
ALLOC_9a12789884d2590d565e,Uttar Pradesh,FATEHPUR SIKRI,Rajkumar Chahar
ALLOC_f669769c0f4353074848,Uttar Pradesh,LUCKNOW,Rajnath Singh
ALLOC_ca24af69bd931f1b7adb,Gujarat,PANCHMAHAL,RAJPALSINH MAHENDRASINH JADAV
ALLOC_49526bd6337383f67555,West Bengal,DARJEELING,Raju Bista
ALLOC_293181ed0ccc535b4669,Uttar Pradesh,SITAPUR,RAKESH RATHOR
ALLOC_20d1588ba34e882af883,Assam,DHUBRI,RAKIBUL HUSSAIN
ALLOC_e78c46e18d46d4397dd3,Uttar Pradesh,BASTI,RAM PRASAD CHAUDHARY
ALLOC_e993789060843ed2aa0b,Uttar Pradesh,SHRAWASTI,Ram Shiromani
ALLOC_6ef98ee2bd67e73bc20f,Telangana,KHAMMAM,RAMASAHAYAM RAGHURAM REDDY
ALLOC_a2329e62dccdce0c78bb,Uttar Pradesh,SALEMPUR,RAMASHANKAR RAJBHAR
ALLOC_2119782055223d8468ba,Uttar Pradesh,SULTANPUR,RAMBHUAL NISHAD
ALLOC_6f06ea986c73d29ccfa5,Uttar Pradesh,KANPUR,RAMESH AWASTHI
ALLOC_25d0db5cb7c19aa5672a,Karnataka,BIJAPUR(SC),Ramesh Chandappa Jigajinagi
ALLOC_56c015b1e2c8f877468a,Bihar,JHANJHARPUR,Ramprit Mandal
ALLOC_8cf17b69f0150f530075,Delhi,SOUTH DELHI,Ramvir Singh Bidhuri
ALLOC_87a5a35ed59e218d2c84,Assam,Sonitpur,RANJIT DUTTA
ALLOC_c54e81fc8b5bc5bbb7f2,Haryana,GURGAON,Rao Inderjit Singh
ALLOC_fbc5fef2054beab2d456,Rajasthan,JAIPUR RURAL,Rao Rajendra Singh
ALLOC_ae4f18562d3573d8b484,Bihar,PATNA SAHIB,Ravi Shankar Prasad
ALLOC_1b89eadbcb66c58749f6,Maharashtra,MUMBAI NORTH WEST,RAVINDRA DATTARAM WAIKAR
ALLOC_d010111119c701285e91,Uttar Pradesh,GORAKHPUR,Ravindra Shyamnarayan Alias Ravi Kishan Shukla
ALLOC_80ac1b639e80781d0672,Maharashtra,NANDED,Ravindra Vasantrao Chavan
ALLOC_dd4bbfbf4e9004334d29,Mizoram,MIZORAM (ST),RICHARD VANLALHMANGAIHA
ALLOC_4058a22fd1a0122587cc,Tamil Nadu,TIRUNELVELI,ROBERT BRUCE C
ALLOC_d4b2107bd6c7823ce89a,Madhya Pradesh,RAJGARH,Rodmal Nagar
ALLOC_61e569b97357f517fa44,Chhattisgarh,MAHASAMUND,ROOP KUMARI CHOUDHARY
ALLOC_bd336f1ce282bf440888,Uttar Pradesh,MORADABAD,RUCHI VIRA
ALLOC_c0a65dfd58c6b8d209a5,Odisha,DHENKANAL,RUDRA NARAYAN PANY
ALLOC_6c5a2d97fe2ff1c23d3e,Nagaland,NAGALAND,S SUPONGMEREN JAMIR
ALLOC_8933b02ee7bc0bcece4c,Tamil Nadu,MADURAI,S Venkatesan
ALLOC_715b8b7561fbd7fc86ef,Tamil Nadu,ARAKKONAM,S. Jagathrakshakan
ALLOC_60de64e21a9be1453171,Tamil Nadu,DINDIGUL,SACHITHANANTHAM R
ALLOC_aa0c8f7e65c76586762c,Karnataka,BIDAR,SAGAR ESHWAR KHANDRE
ALLOC_bb69284ac6a36b7c181b,Meghalaya,TURA,SALENG A SANGMA
ALLOC_28e09c07a09b22cac840,Odisha,PURI,SAMBIT PATRA
ALLOC_64d39b3dbc7d8da9f815,Uttar Pradesh,BALLIA,SANATAN PANDEY
ALLOC_3873cb5ff4ebe70b224c,Maharashtra,MUMBAI NORTH EAST,SANJAY DINA PATIL
ALLOC_7c1f686bb4dfafdeac4c,Maharashtra,PARBHANI,Sanjay Haribhau Jadhav
ALLOC_80d1e5e8969a5cf5c8a8,Bihar,PASCHIM CHAMPARAN,Sanjay Jaiswal
ALLOC_df861541c8ce99bf80f7,Telangana,KARIMNAGAR,Sanjay Kumar Bandi
ALLOC_e0f4bc1fa1109881c00c,Jharkhand,RANCHI,Sanjay Seth
ALLOC_b1df732a84f0f38b3660,Maharashtra,YAVATMAL-WASHIM,Sanjay Uttamrao Deshmukh
ALLOC_05e84e834e64e7b458de,Rajasthan,BHARATPUR(SC),SANJNA JATAV
ALLOC_6df7bb83bafe2a58aa06,Chhattisgarh,RAJNANDGAON,Santosh Pandey
ALLOC_2279a0bafc12a8695466,Odisha,KORAPUT(ST),Saptagiri Sankar Ulaka
ALLOC_c7446072d25ebf8a25ed,Punjab,FARIDKOT(SC),SARABJEET SINGH KHALSA
ALLOC_1aaf928586e067bdbd8f,Tamil Nadu,TIRUVALLUR(SC),Sasikanth Senthil
ALLOC_332631ea098776577b05,Haryana,SONEPAT,SATPAL BRAHAMCHARI
ALLOC_3abe17a32b87e9a28bb9,West Bengal,BISHNUPUR(SC),Saumitra khan
ALLOC_0edea38300849ad79c6c,Madhya Pradesh,DHAR(ST),SAVITRI THAKUR
ALLOC_c5f09c3ccc9647df3b87,West Bengal,JADAVPUR,SAYANI GHOSH
ALLOC_e4fba08ee45811fb232f,Haryana,SIRSA(SC),SELJA
ALLOC_c131ec98fb53cb4a3eba,Tamil Nadu,SALEM,SELVAGANAPATHI T M
ALLOC_79206b46434a0cd3941f,Tamil Nadu,NAGAPATTINAM(SC),SELVARAJ V
ALLOC_d9d54188a825b417a3d3,Kerala,VADAKARA,SHAFI PARAMBIL
ALLOC_76c8bc789da3e1659b3e,Bihar,SAMASTIPUR(SC),SHAMBHAVI
ALLOC_a610d6a84d7ab8741dd0,Madhya Pradesh,INDORE,Shankar Lalwani
ALLOC_cebfe0221575b650d749,Uttar Pradesh,DEORIA,SHASHANK MANI
ALLOC_018f6a2898038ced86ba,West Bengal,ASANSOL,Shatrughan Sinha
ALLOC_28231479146369b619e7,Punjab,FIROZPUR,SHER SINGH GHUBAYA
ALLOC_b2afded09de2be5187c5,Madhya Pradesh,MORENA,SHIVMANGAL SINGH TOMAR
ALLOC_1d3e801d9f855f27ce24,Madhya Pradesh,VIDISHA,SHIVRAJ SINGH CHOUHAN
ALLOC_7230cf5282a2a4f046a2,Karnataka,BANGALORE NORTH,SHOBHA KARANDLAJE
ALLOC_05d6b853216b623016e6,Gujarat,SABARKANTHA,SHOBHANABEN MAHENDRASINH BARAIYA
ALLOC_5ccce174d3c42366ee0b,Karnataka,HASSAN,SHREYAS. M. PATEL
ALLOC_d14229cf53cfe31b48c1,Haryana,BHIWANI MAHENDRAGARH,Shri Dharambir Singh
ALLOC_5736a16fccc08ff40699,West Bengal,DIAMOND HARBOUR,Shri Abhishek Banerjee
ALLOC_072e5fecd5fcf3299bab,Punjab,FATEHGARH SAHIB(SC),Shri Amar Singh
ALLOC_ba1fed81a5104ab1ebb5,Gujarat,GANDHINAGAR,Shri Amit Shah
ALLOC_707256a5aac651cf2a01,Madhya Pradesh,UJJAIN(SC),Shri Anil Firojiya
ALLOC_9ecff1a46fe36117db98,Rajasthan,BIKANER(SC),Shri Arjun Ram Meghwal
ALLOC_be183766f048537d1b1f,Uttar Pradesh,SHAHJAHANPUR(SC),Shri Arun Kumar Sagar
ALLOC_a21e02e8bfa4a99e2609,Karnataka,SHIMOGA,Shri B Y Raghavendra
ALLOC_59d3ee23a1935b5cc823,Kerala,CHALAKUDY,Shri Benny Behanan
ALLOC_7b2412a243518e2c39d4,Odisha,CUTTACK,Shri Bhartruhari Mahtab
ALLOC_5ae0cecca6539e9e6155,Jharkhand,GIRIDIH,Shri Chandra Prakash Choudhary
ALLOC_89509054f24351b327a3,West Bengal,GHATAL,Shri Deepak (Dev) Adhikari
ALLOC_7f2620dd4b32db35908b,Punjab,AMRITSAR,Shri Gurjeet Singh Aujla
ALLOC_4da31415c193b48055ad,Rajasthan,NAGAUR,Shri Hanuman Beniwal
ALLOC_dc251fc023fb509dd461,Kerala,ERNAKULAM,Shri Hibi Eden
ALLOC_d1062b2b170f14d84c70,Bihar,MAHARAJGANJ_BR,Shri Janardan Singh Sigriwal
ALLOC_3cb42e631b98b3bca47a,Odisha,SUNDARGARH (ST),Shri Jual Oram
ALLOC_61340cdcd19157913999,Jammu And Kashmir,JAMMU,Shri Jugal Kishore Sharma
ALLOC_5be1a259dc4d982fad37,West Bengal,PURULIA,Shri Jyotirmay Singh Mahato
ALLOC_4b4f22198ea838b07459,Tamil Nadu,SIVAGANGA,Shri Karti P Chidambaram
ALLOC_8bbaeeb2e74f30163799,Kerala,KANNUR,Shri Kumbakudi Sudhakaran
ALLOC_5ba74e917d49c2c35668,Karnataka,BANGALORE SOUTH,Shri LS Tejasvi Surya
ALLOC_ccc1dead9dd93ca9d402,Kerala,KOZHIKODE,Shri M K Raghavan
ALLOC_6d8099b96ab1d46ae0c0,Uttar Pradesh,VARANASI,Shri Narendra Modi
ALLOC_1d309b0a192078c32f0a,Kerala,KOLLAM,Shri NK Premachandran
ALLOC_faaf23be1ce86b72807b,Rajasthan,PALI,Shri PP Chaudhary
ALLOC_a814e93c20b5906ad556,Kerala,KASARAGOD,Shri Rajmohan Unnithan
ALLOC_39876f318cb0dba12988,Assam,DIBRUGARH,Shri Sarbananda Sonowal (18LS)
ALLOC_0539419d587140b0e3cb,Uttar Pradesh,ALIGARH,Shri Satish Kumar Gautam
ALLOC_71b05a27b48717149a31,West Bengal,BANGAON(SC),Shri Shantanu Thakur
ALLOC_85690206e8ef4207764b,Madhya Pradesh,MANDSOUR,Shri Sudheer Gupta
ALLOC_637ea20759239a587eac,Kerala,MAVELIKKARA(SC),Shri Suresh Kodikunnil
ALLOC_b3b46131f236b795ad38,Arunachal Pradesh,ARUNACHAL EAST,Shri Tapir Gao
ALLOC_d45a825f1642fc8f9f66,Tamil Nadu,KANNIYAKUMARI,Shri vijayakumar Vasanth
ALLOC_0d977d5ede4f14adcc1d,Maharashtra,KALYAN,Shrikant Eknath Shinde
ALLOC_cbd8a67cf7468b70bb9b,Maharashtra,SATARA,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE
ALLOC_be24973ea23e086a6994,Goa,NORTH GOA,Shripad Yesso Naik
ALLOC_e3c219efd81c24f1db12,Maharashtra,MAVAL,Shrirang Appa Barne
ALLOC_9cd72f8f713bbd795b27,Maharashtra,RAMTEK(SC),Shyamkumar
ALLOC_60f49750495f78fc3e1f,Andhra Pradesh,VIJAYAWADA,Sivanath Kesineni
ALLOC_e78e7c7446470b2d9712,West Bengal,BASIRHAT,SK NURUL ISLAM
ALLOC_7f2835f9c28fc2465c96,Maharashtra,JALGAON,SMITA UDAY WAGH
ALLOC_57e70ed41044a6ecb799,Uttar Pradesh,MIRZAPUR,Smt Anupriya Patel
ALLOC_15a0699b467a54927aeb,Odisha,BHUBANESWAR,Smt Aparajita Sarangi
ALLOC_0820986c65ca2cb791ba,Uttar Pradesh,MAINPURI,Smt Dimple Yadav
ALLOC_7dc5f02ffc639e965168,Punjab,BHATINDA,Smt Harsimrat Kaur Badal
ALLOC_9d28cb897feccc9441cd,Uttar Pradesh,MATHURA,Smt Hema Malini
ALLOC_b7f9757fcfb03ca95ae5,Madhya Pradesh,SHAHDOL (ST),Smt Himadri Singh
ALLOC_2ff886634fc4d637d883,Gujarat,JAMNAGAR,Smt Poonamben Hematbhai Maadam
ALLOC_2c411b8ea32cba397799,Maharashtra,RAVER,Smt Raksha Nikhil Khadse
ALLOC_7a0371b9f03732b77846,Tamil Nadu,KARUR,Smt S Jothimani
ALLOC_f6c7801151f66575a9a9,West Bengal,ULUBERIA,Smt Sajda Ahmed
ALLOC_4a9de124787d0709fb03,Madhya Pradesh,BHIND(SC),Smt Sandhya Ray
ALLOC_316658c77e55e79e86af,Odisha,BOLANGIR,Smt Sangeeta Kumari Singh Deo
ALLOC_612146aaa7bd538f7be6,West Bengal,BIRBHUM,Smt Satabdi Roy (Banerjee)
ALLOC_bab40eab0a147e5fca40,Maharashtra,BARAMATI,Smt Supriya Sadanand Sule
ALLOC_6f053886906f3f1749cf,Bihar,VAISHALI,Smt Veena Devi
ALLOC_5d0e48011cf7052353d7,Andhra Pradesh,VISAKHAPATNAM,Sribharat MathuKumli
ALLOC_0c562f273a8705b4cdd2,Bihar,ARRAH,SUDAMA PRASAD
ALLOC_b3fb2a0f5480454454a2,Tamil Nadu,MAYILADUTHURAI,SUDHA R
ALLOC_c863f21a8cdc2d7bcbf9,Bihar,BUXAR,SUDHAKAR SINGH
ALLOC_dcd2f9a2ab533c306385,West Bengal,KOLKATA UTTAR,Sudip Bandyopadhyay
ALLOC_a409e0c925c9dbb1286b,Odisha,KANDHAMAL,SUKANTA KUMAR PANIGRAHI
ALLOC_d8b0eda169537a094956,Jharkhand,LOHARDAGA(ST),SUKHDEO BHAGAT
ALLOC_4fce7849b191d54e2be3,Punjab,GURDASPUR,SUKHJINDER SINGH RANDHAWA
ALLOC_1219403b25a307e97e50,Karnataka,CHAMARAJANAGAR(SC),SUNIL BOSE
ALLOC_d25b59ec110467ef0a96,Maharashtra,RAIGAD,Sunil Dattatray Tatkare
ALLOC_50873416ecf59a9b7780,Bihar,VALMIKI NAGAR,Sunil Kumar
ALLOC_35751a89f4e7d48d90ef,Bihar,JAHANABAD,SURENDRA PRASAD YADAV
ALLOC_951aee518e48278e1a79,Kerala,THRISSUR,SURESH GOPI
ALLOC_5e29a4968f607da8f087,Himachal Pradesh,SHIMLA (SC),Suresh Kumar Kashyap
ALLOC_35a20e8f27b0d7b13844,Telangana,ZAHIRABAD,SURESH KUMAR SHETKAR
ALLOC_2a0c9ec8d4c7d30c2e78,Uttar Pradesh,UNNAO,Swami Sachchidanandhari Sakshi ji Maharaj
ALLOC_ff79c0cf95cbd78a86f7,Tamil Nadu,CHENNAI SOUTH,T Sumathy (A) Thamizhachi Thangapandian
ALLOC_55d80d1bf5121bd56997,Andhra Pradesh,KAKINADA,TANGELLA UDAY SRINIVAS
ALLOC_60557fc62d8a7f36c718,Uttar Pradesh,BARABANKI(SC),TANUJ PUNIA
ALLOC_28ad781a47ce5ef0679a,Bihar,KATIHAR,TARIQ ANWAR
ALLOC_c49d8f12f9b0a98dc8d2,Tamil Nadu,SRIPERUMBUDUR,Thalikkottai Rajuthevar Baalu
ALLOC_1a75d1fdff6534e32b9a,Tamil Nadu,THENI,THANGA TAMILSELVAN
ALLOC_5ded93499939e2ba5bca,Tamil Nadu,ARANI,THARANIVENTHAN M S
ALLOC_88c6683f464b4cedca37,Tamil Nadu,CHENNAI CENTRAL,Thiru Dayanidhi Maran
ALLOC_ad25cbe91ac5fa2d5860,Tamil Nadu,CHIDAMBARAM(SC),Thirumaa Valavan Thol
ALLOC_c111e4547df75bf3183b,Chhattisgarh,BILASPUR,TOKHAN SAHU
ALLOC_b4df8fe277ec65e28d6a,Uttarakhand,HARDWAR,TRIVENDRA SINGH RAWAT
ALLOC_c8730ade2909166b35d3,Uttar Pradesh,ALLAHABAD,UJJWAL RAMAN SINGH
ALLOC_438a6225d8dc1dadfef8,Rajasthan,BARMER,UMMEDA RAM BENIWAL
ALLOC_5328d9ae349e97facee9,Uttar Pradesh,KHERI,UTKARSH VERMA MADHUR
ALLOC_ea65848c0d7aa6ce1d09,Tamil Nadu,NAMAKKAL,V S Matheswaran
ALLOC_4c778f037532cda2f9ac,Karnataka,TUMKUR,V. SOMANNA
ALLOC_70891587d3fd95471125,Puducherry,Puducherry,Vaithilingam Ve
ALLOC_4798f7e40139ae20b4af,Telangana,PEDDAPALLE,VAMSI KRISHNA GADDAM
ALLOC_e6112b17f9203f1021ad,Haryana,AMBALA (SC),VARUN CHAUDHRY
ALLOC_06327916c0001287aa97,Kerala,PALAKKAD,Vellalath Kochukrishnan Nair Sreekandan
ALLOC_1bd21557380857b91570,Chhattisgarh,DURG,Vijay Baghel
ALLOC_d4b07166e92e54c80607,Uttar Pradesh,KUSHI NAGAR,Vijay Kumar Dubey
ALLOC_1cba967a2e46b8a85e30,Jharkhand,RAJMAHAL(ST),Vijay Kumar Hansdak
ALLOC_82a0e412ae83304bd078,Bihar,SIWAN,VIJAYLAKSHMI DEVI
ALLOC_5bc425e6a526e133f942,Gujarat,KACHCHH(SC),Vinod Chavda
ALLOC_adfe9869f98855aa7387,Uttar Pradesh,BHADOHI,VINOD KUMAR BIND
ALLOC_6dcf2d8ab39056c0bf99,Madhya Pradesh,TIKAMGARH(SC),Virendra Kumar
ALLOC_24590a097d6f7bcf34c0,Uttar Pradesh,CHANDAULI,VIRENDRA SINGH
ALLOC_cd76711a2267d3202d0f,Maharashtra,SANGLI,VISHAL
ALLOC_ca36d5ea55c00db8b97e,Jharkhand,PALAMU(SC),Vishnu Dayal Ram
ALLOC_7255b738b63987802333,Madhya Pradesh,KHAJURAHO,Vishnu Dutt Sharma
ALLOC_1f0f284cc5856efcd67a,Karnataka,UTTARA KANNADA,VISHWESHWAR HEGDE KAGERI
ALLOC_980f8203735e4c95ab00,Bihar,NAWADA,VIVEK THAKUR
ALLOC_0d535e0a44b01f873490,Andhra Pradesh,KADAPA,Y S Avinash Reddy
ALLOC_2e69ac3216b1afd95706,Karnataka,MYSORE,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR
ALLOC_82e433c6db220166cb24,Delhi,NORTH WEST DELHI(SC),Yogendra Chandoliya
ALLOC_a7bf9849f76735a88a88,Uttar Pradesh,SAMBHAL,ZIA UR REHMAN
