allocation_id,state,constituency,honble_members_of_parliament
ALLOC_23a6dc0ae2a7b0dee96f,Andhra Pradesh,KURNOOL,BASTIPATI NAGARAJU PANCHALINGALA
ALLOC_963344e00f93255f2fbf,Rajasthan,AJMER,Bhagirath Chaudhary
ALLOC_8c3f26d5d8701501d863,Rajasthan,KARAULI-DHOLPUR(SC),BHAJAN LAL JATAV
ALLOC_aecbb8cbdf5cc6432a0e,Madhya Pradesh,GWALIOR,BHARAT SINGH KUSHWAH
ALLOC_80f1880e0941478dc3f1,Gujarat,AMRELI,BHARATBHAI MANUBHAI SUTARIYA
ALLOC_d3ecf66eb5199b4ccbb4,Gujarat,PATAN,Bharatsinhji Shankarji Dabhi
ALLOC_5c083f0fa6b139efe224,Madhya Pradesh,BALAGHAT,BHARTI PARDHI
ALLOC_067584edf0aaeb5a7e5b,Maharashtra,DINDORI(ST),BHASKAR MURLIDHAR BHAGARE
ALLOC_4f356680c4eba2fe4999,Maharashtra,SHIRDI(SC),BHAUSAHEB RAJARAM WAKCHAURE
ALLOC_f21bd8f305fded2dbb39,Chhattisgarh,KANKER(ST),BHOJRAJ NAG
ALLOC_890eb2d60757860ee896,Uttar Pradesh,BULANDSHAHR(SC),Bhola Singh
ALLOC_0b6e5ec8d21c07de9a95,Maharashtra,AURANGABAD_MH,BHUMARE SANDIPANRAO ASARAM
ALLOC_978ae6ee6daf03f65d3f,Andhra Pradesh,NARASAPURAM,Bhupathiraju Srinivasa varma
ALLOC_98b0bd6194f07a5b2799,Rajasthan,ALWAR,BHUPENDER YADAV
ALLOC_970a3f3a37714580ca6f,Odisha,JAGATSINGHPUR(SC),BIBHU PRASAD TARAI
ALLOC_cc06dfae63b3c03467e2,Jharkhand,JAMSHEDPUR,Bidyut Baran Mahato
ALLOC_ed914b513e76e50883f0,Assam,GUWAHATI,BIJULI KALITA MEDHI
ALLOC_7f8e3fcdb261cd8b8607,Tripura,TRIPURA WEST,BIPLAB KUMAR DEB
ALLOC_90a77fa1c9de0d1f9da6,Andaman And Nicobar Islands,ANDAMAN AND NICOBAR ISLANDS,BISHNU PADA RAY
ALLOC_8c5b7bf5bb9fe031108d,Rajasthan,JHUNJHUNU,BRIJENDRA SINGH OLA
ALLOC_eca55fb3bf3e052fe933,Chhattisgarh,RAIPUR,BRIJMOHAN AGRAWAL
ALLOC_bbb896373d7203386b07,Madhya Pradesh,CHHINDWARA,BUNTY VIVEK SAHU
ALLOC_9075c3700a0d61ef8dd9,Gujarat,NAVSARI,C R Patil
ALLOC_54c7544fac3951e9dcb8,Andhra Pradesh,ANAKAPALLE,C.M.RAMESH
ALLOC_768748a14bf529ab6425,Karnataka,DAKSHINA KANNADA,CAPTAIN BRIJESH CHOWTA
ALLOC_006abadd678053338c7f,Goa,SOUTH GOA,CAPTAIN VIRIATO FERNANDES
ALLOC_e463df5bedf600556226,Telangana,BHONGIR,CHAMALA KIRAN KUMAR REDDY
ALLOC_698964be2575f2d61261,Uttar Pradesh,BIJNOR,CHANDAN CHAUHAN
ALLOC_9510c056648b0d1c34ed,Rajasthan,CHITTORGARH,Chandra Prakash Joshi
ALLOC_65e0332cf88d6fa7c078,Uttar Pradesh,NAGINA(SC),CHANDRA SHEKHAR
ALLOC_b1773c368b8e6f669275,Gujarat,SURENDRANAGAR,CHANDUBHAI CHHAGANBHAI SHIHORA
