"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"2024","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/141088","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","30-Aug-2026","Nand kishor","Payment In-Progress","9750"
"2025","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/141088","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","30-Aug-2026","Raamveer Singh","Payment In-Progress","3705"
"2026","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/141088","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","30-Aug-2026","Darab","Payment In-Progress","9750"
"2027","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/141088","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","30-Aug-2026","Mukesh Devi","Payment In-Progress","3705"
"2028","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/141088","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","30-Aug-2026","shukant","Payment In-Progress","3705"
"2029","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/141088","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","30-Aug-2026","Umedi","Payment In-Progress","3705"
"2030","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/141088","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","30-Aug-2026","Geetam Singh","Payment In-Progress","9750"
"2031","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/141088","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","30-Aug-2026","Ravindra Singh","Payment In-Progress","3135"
"2032","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/141088","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","30-Aug-2026","Radha","Payment In-Progress","3705"
"2033","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/199757","AJMER(DISTRICT COLLECTOR AJMER_IDA)","Bhagirath Chaudhary","AJMER","20-Aug-2026","SANWARIYA CONSTRUCTION","Payment In-Progress","440462"
"2034","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/141088","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","30-Aug-2026","rajesh singh","Payment In-Progress","3705"
"2035","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/141088","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","30-Aug-2026","Ramcharan singh","Payment In-Progress","5250"
"2036","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2024-2025/141088","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","30-Aug-2026","Hetram","Payment In-Progress","3705"
"2037","Punjab","Construction of stadiums","WS/MP18311/2025-2026/272255","RUPNAGAR(DEPUTY COMMISSIONER ROOPNAGAR_IDA)","MALVINDER SINGH KANG","ANANDPUR SAHIB","24-Aug-2026","GH LANDSCAPES","Payment In-Progress","14000"
"2038","Odisha","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18144/2026-2027/269136","KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA)","MALVIKA DEVI","KALAHANDI","01-Sep-2026","SAROJ KANTA NAIK","Payment In-Progress","300000"
"2039","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271848","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2040","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271849","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2041","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271847","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2042","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271843","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2043","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271844","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2044","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271846","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2045","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271852","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2046","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271859","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2047","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271853","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2048","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271851","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2049","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271850","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2050","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271870","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2051","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271938","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2052","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271862","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2053","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271863","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2054","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271864","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2055","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271868","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2056","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271869","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2057","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271937","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2058","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271867","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2059","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271861","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2060","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271935","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2061","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271936","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2062","Uttar Pradesh","Installing community drinking water plants","WS/MP18234/2026-2027/271860","PRATAPGARH(DISTRICT MAGISTRAE PRATAPGARH_IDA)","DR. S P SINGH","PRATAPGARH","02-Sep-2026","BEENA AND SONS","Payment In-Progress","80319"
"2063","West Bengal","Construction of community centers and community halls","WS/MP18254/2024-2025/156808","Paschim Medinipur(DISTRICT MAGISTRATE PASCHIM MEDINIPUR_IDA)","JUNE MALIAH","MEDINIPUR","21-Aug-2026","MS CHOWDHURY CONSTRUCTION","Payment In-Progress","1307006"
"2064","Andhra Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP522/2026-2027/275979","SRIKAKULAM(District Collector Srikakulam_IDA)","Kinjarapu Ram Mohan Naidu","SRIKAKULAM","02-Sep-2026","Kuna Balakrishna","Payment In-Progress","486692"
"2065","Jammu And Kashmir","Street lights","WS/MP18379/2026-2027/251193","BARAMULLA(DEPUTY COMMISSIONER BARAMULLAH_IDA)","ABDUL RASHID SHEIKH","BARAMULLAH","21-Aug-2026","MS Manzoor Builders","Payment In-Progress","498400"
"2066","Gujarat","Construction of rooms and halls in school and colleges","WS/MP574/2025-2026/181103","PATAN(DISTRICT COLLECTOR PATAN_IDA)","Bharatsinhji Shankarji Dabhi","PATAN","20-Aug-2026","AJIMANA GRAM PANCHAYAT","Payment In-Progress","500000"
"2067","Karnataka","Construction of community centers and community halls","WS/MP618/2025-2026/241976","BAGALKOTE(DEPUTY COMMISSIONER BAGALKOT_IDA)","Parvatagouda Chandanagouda Gaddigoudar","BAGALKOT","01-Sep-2026","ASANGEPPA HANUMANTAPPA BANDIWADDAR","Payment In-Progress","124172"
"2068","Meghalaya","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18309/2026-2027/288790","WEST GARO HILLS(DEPUTY COMMISSIONER WEST GARO HILLS_IDA)","SALENG A SANGMA","TURA","28-Aug-2026","Marwari Yuva Manch","Payment In-Progress","335000"
"2069","Rajasthan","Purchase of furniture and fixtures for educational purposes","WS/MP389/2025-2026/255117","PALI(DISTRICT COLLECTOR PALI_IDA)","Shri PP Chaudhary","PALI","03-Jul-2026","VASUDEV CONSTRUCTION CO","Payment In-Progress","500000"
"2070","Gujarat","Construction of common work sheds/ common covered sitting area","WS/MP18321/2025-2026/202016","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","02-Sep-2026","SAYBAPUR GRAM PANCHAYAT","Payment In-Progress","500000"
"2071","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18093/2025-2026/197285","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","17-Jul-2026","RAJESH M R","Payment In-Progress","490958"
"2072","Karnataka","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18093/2025-2026/197286","TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA)","V. SOMANNA","TUMKUR","18-Jul-2026","Deepak M B","Payment In-Progress","490803"
"2073","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP716/2025-2026/203951","BATHINDA(DEPUTY COMMISSIONER BHATINDA_IDA)","Smt Harsimrat Kaur Badal","BHATINDA","07-Jul-2026","Gurpreet Singh","Payment In-Progress","9257"
"2074","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18172/2026-2027/267501","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","21-Jul-2026","Mahila Mandal","Payment In-Progress","510"
"2075","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18172/2026-2027/267501","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","21-Jul-2026","Mahila Mandal","Payment In-Progress","15041"
"2076","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18172/2026-2027/267501","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","21-Jul-2026","Mahila Mandal","Payment In-Progress","26800"
"2077","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP18172/2026-2027/267501","UDAIPUR(DISTRICT COLLECTOR UDAIPUR_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","21-Jul-2026","Mahila Mandal","Payment In-Progress","4750"
"2078","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/262249","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","25-Aug-2026","guddi devi","Payment In-Progress","351104"
"2079","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18161/2025-2026/262250","BHARATPUR(DISTRICT COLLECTOR BHARATPUR_IDA)","SANJNA JATAV","BHARATPUR(SC)","31-Aug-2026","guddi devi","Payment In-Progress","499397"
"2080","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18321/2025-2026/184352","SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA)","SHOBHANABEN MAHENDRASINH BARAIYA","SABARKANTHA","01-Sep-2026","SAPAVADA GRAM PANCHAYAT","Payment In-Progress","300000"
"2081","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18127/2026-2027/274228","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","27-Aug-2026","ROSHAN PANDURANG BODKE","Payment In-Progress","999000"
"2082","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18127/2026-2027/274229","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","27-Aug-2026","ROSHAN PANDURANG BODKE","Payment In-Progress","699852"
"2083","Karnataka","Construction of additional rooms and halls in the existing public and community building","WS/MP18082/2025-2026/211814","CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA)","GOVIND MAKTHAPPA KARJOL","CHITRADURGA(SC)","27-Jul-2026","LAKSHMANA","Payment In-Progress","571836"
"2084","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18172/2025-2026/156311","PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","27-Aug-2026","HAKRU MEENA","Payment In-Progress","19890"
"2085","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18172/2025-2026/156311","PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","27-Aug-2026","SHIV LAL MEENA","Payment In-Progress","19890"
"2086","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18172/2025-2026/156311","PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","27-Aug-2026","SHYAMA BAI","Payment In-Progress","14820"
"2087","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18172/2025-2026/156311","PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","27-Aug-2026","RAMKANYA BAI","Payment In-Progress","14820"
"2088","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18172/2025-2026/156311","PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","27-Aug-2026","DEVLI","Payment In-Progress","14820"
"2089","Rajasthan","Construction of common work sheds/ common covered sitting area","WS/MP18172/2025-2026/156311","PRATAPGARH(DISTRICT COLLECTOR PRATAPGARH_IDA)","MANNA LAL RAWAT","UDAIPUR(ST)","27-Aug-2026","GOPAL LAL MEENA","Payment In-Progress","19890"
"2090","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266116","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2091","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266115","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2092","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266106","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2093","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266117","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2094","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266111","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2095","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266114","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2096","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266112","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2097","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266113","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2098","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266108","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2099","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266109","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2100","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266110","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2101","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266107","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2102","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266126","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2103","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266128","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2104","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266129","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2105","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266124","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2106","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266125","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2107","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266171","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2108","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266122","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2109","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266118","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2110","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266121","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2111","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266119","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2112","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266120","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2113","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266127","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2114","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266130","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2115","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266131","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2116","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266133","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2117","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266132","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2118","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266139","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2119","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266137","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2120","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266138","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2121","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266135","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2122","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266136","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2123","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266134","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","08-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2124","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266182","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","09-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2125","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266185","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","09-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2126","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266186","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","09-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
"2127","Uttar Pradesh","Lighting of public spaces","WS/MP18380/2026-2027/266187","BHADOHI(DISTRICT MAGISTRATE BHADOHI_IDA)","VINOD KUMAR BIND","BHADOHI","09-Jul-2026","G H ENTERPRISES","Payment In-Progress","103263"
