"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"3041","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18154/2026-2027/276103","GURDASPUR(DEPUTY COMMISSIONER GURDASPUR_IDA)","SUKHJINDER SINGH RANDHAWA","GURDASPUR","20-Aug-2026","SB TRADING COMPANY","Payment Success","251900"
"3042","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP578/2025-2026/254137","NARMADA(DISTRICT COLLECTOR NARMADA_IDA)","Mansukhbhai Dhanjibhai Vasava","BHARUCH","24-Aug-2026","KEVDI GROUP GRAM PANCHAYAT","Payment Success","200000"
"3043","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18328/2025-2026/242407","MANDI(DEPUTY COMMISSIONER MANDI_IDA)","Kangana Ranaut","MANDI","21-Aug-2026","Munshi Ram","Payment Success","300000"
"3044","Bihar","Construction of public staircase/ stair ghat for public convenience","WS/MP18042/2025-2026/259638","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","SHAMBHAVI","SAMASTIPUR(SC)","21-Aug-2026","RAJEEV KUMAR SINGH","Payment Success","999370"
"3045","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18324/2025-2026/219922","AMRELI(DISTRICT COLLECTOR AMRELI_IDA)","BHARATBHAI MANUBHAI SUTARIYA","AMRELI","21-Aug-2026","GRAM PANCHAYAT HAMAPUR","Payment Success","499262"
"3046","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2025-2026/161809","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","26-Aug-2026","GRUP GRAMPANCHAYAT SANJELI","Payment Success","227240"
"3047","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP577/2025-2026/199271","Dahod(DISTRICT COLLECTOR DOHAD_IDA)","Jaswantsinh Sumanbhai Bhabhor","DAHOD(ST)","23-Aug-2026","GRUP GRAMPANCHAYAT SANJELI","Payment Success","292453"
"3048","Tamil Nadu","Construction of buildings for crèches and anganwadies","WS/MP18181/2026-2027/305122","COIMBATORE(DISTRICT COLLECTOR COIMBATORE_IDA)","ESWARASAMY K","POLLACHI","22-Aug-2026","Raju S","Payment Success","1500000"
"3049","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/163384","DINDORI(District Collector Dindori_IDA)","Faggan Singh Kulaste","MANDLA(ST)","24-Aug-2026","MANISH CONSTRUCTION AND VENDORS","Payment Success","200000"
"3050","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP640/2026-2027/163384","DINDORI(District Collector Dindori_IDA)","Faggan Singh Kulaste","MANDLA(ST)","19-Aug-2026","MANISH CONSTRUCTION AND VENDORS","Payment Success","300000"
