sr_no,state,work,work_id,ida,honble_members_of_parliament,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount_rupees,fund_disbursed_amount_rupees_invalid_negative,source_dataset
1,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233777,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,2026-08-21,DARSH BUILDCON,Payment In-Progress,799146,False,Completed_On-going_Works.csv
2,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233878,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,2026-08-04,DARSH BUILDCON,Payment In-Progress,832080,False,Completed_On-going_Works.csv
3,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18218/2025-2026/233781,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,2026-08-04,DARSH BUILDCON,Payment In-Progress,498309,False,Completed_On-going_Works.csv
4,Odisha,Construction of community centers and community halls,WS/MP370/2024-2025/145537,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),Shri Jual Oram,SUNDARGARH (ST),2026-08-31,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2000,False,Completed_On-going_Works.csv
5,Karnataka,Construction of additional rooms and halls in the existing public and community building,WS/MP18082/2025-2026/242466,CHITRADURGA(DEPUTY COMMISSIONER CHITRADURGA_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),2026-08-31,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,375000,False,Completed_On-going_Works.csv
6,Madhya Pradesh,Construction of common work sheds/ common covered sitting area,WS/MP641/2025-2026/220322,BARWANI(DISTRICT COLLECTOR BADWANI_IDA),Gajendra Singh Patel,KHARGONE(ST),2026-08-31,NAGAR PALIKA PARISHAD BARWANI,Payment In-Progress,99254,False,Completed_On-going_Works.csv
7,Gujarat,"Purchase of IT systems, including hardware and software for educational purposes",WS/ MP575/2026-2027/291463,NAVSARI(DISTRICT COLLECTOR NAVSARI_IDA),C R Patil,NAVSARI,2026-08-29,BHARGAV SUMANTRAI PATEL,Payment In-Progress,497845,False,Completed_On-going_Works.csv
8,Odisha,Construction of community centers and community halls,WS/MP300/2026-2027/226384,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-29,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,3000,False,Completed_On-going_Works.csv
9,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP300/2025-2026/257871,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-31,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,2000,False,Completed_On-going_Works.csv
10,Odisha,Construction of public libraries and reading rooms,WS/MP300/2025-2026/157041,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-31,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,5000,False,Completed_On-going_Works.csv
11,Odisha,Construction of public libraries and reading rooms,WS/MP300/2025-2026/157040,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),Smt Aparajita Sarangi,BHUBANESWAR,2026-08-30,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,5000,False,Completed_On-going_Works.csv
12,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272840,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN,SAMBALPUR,2026-09-01,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000,False,Completed_On-going_Works.csv
13,Odisha,Construction of public irrigation facilities,WS/MP18150/2026-2027/272770,SAMBALPUR(DISTRICT COLLECTOR SAMBALPUR_IDA),DHARMENDRA PRADHAN,SAMBALPUR,2026-09-01,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,7000,False,Completed_On-going_Works.csv
14,Odisha,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18350/2025-2026/182265,BOUDH(District Collector Boudh_IDA),SUKANTA KUMAR PANIGRAHI,KANDHAMAL,2026-08-17,MEMBER SECY OB AND OC WWB BBSR,Payment In-Progress,3000,False,Completed_On-going_Works.csv
15,Karnataka,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18082/2025-2026/187502,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),GOVIND MAKTHAPPA KARJOL,CHITRADURGA(SC),2026-08-10,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,250000,False,Completed_On-going_Works.csv
16,Karnataka,Construction of buildings for training institutions,WS/MP18093/2026-2027/217128,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,2026-08-05,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,750000,False,Completed_On-going_Works.csv
17,Karnataka,Installing tube-wells and borewells,WS/MP18093/2026-2027/217130,TUMAKURU(DEPUTY COMMISSIONER TUMKUR_IDA),V. SOMANNA,TUMKUR,2026-07-27,KRIDL BHUSIRI ACCOUNT WORKS,Payment In-Progress,375000,False,Completed_On-going_Works.csv
18,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP568/2026-2027/279464,DURG(DISTRICT COLLECTOR DURG_IDA),Vijay Baghel,DURG,2026-09-03,SARPANCH GRAM PANCHAYAT BATHENA,Payment In-Progress,260000,False,Completed_On-going_Works.csv
19,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214638,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
20,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214637,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
21,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214639,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
22,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214742,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
23,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214643,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
24,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214751,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
25,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214776,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
26,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214778,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
27,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214780,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
28,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214771,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
29,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214774,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
30,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214772,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
31,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214753,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
32,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214761,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
33,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214768,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
34,Uttar Pradesh,Lighting of public spaces,WS/MP18239/2025-2026/214767,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),ZIA UR REHMAN,SAMBHAL,2026-08-20,R G SUPLLIER,Payment In-Progress,36159,False,Completed_On-going_Works.csv
35,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171412,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-08-18,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
36,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/183819,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-08-18,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
37,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184028,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-08-18,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
38,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184243,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
39,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184254,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
40,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184255,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
41,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184305,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
42,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184282,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
43,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184280,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
44,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184264,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
45,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184266,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
46,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184279,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
47,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184239,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
48,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184034,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
49,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184234,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
50,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/184088,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-22,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
51,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214196,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
52,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214193,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
53,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214195,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
54,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214174,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
55,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214190,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
56,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214321,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
57,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214004,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
58,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214008,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
59,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214202,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
60,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214253,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
61,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214320,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
62,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214103,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
63,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214104,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
64,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214105,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
65,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214106,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
66,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214115,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
67,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214107,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
68,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214001,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
69,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214002,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
70,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214003,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
71,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214061,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
72,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214060,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
73,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214059,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
74,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214058,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
75,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214009,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
76,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/214010,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-23,Ajay Kumar Singh,Payment In-Progress,18044,False,Completed_On-going_Works.csv
77,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171510,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
78,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171499,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
79,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171502,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
80,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171466,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
81,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171467,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
82,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171454,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
83,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171451,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
84,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171468,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
85,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171411,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
86,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171469,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
87,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171470,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
88,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171420,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
89,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171449,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
90,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171410,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
91,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171571,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
92,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171577,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
93,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171579,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
94,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171580,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
95,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171581,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
96,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171582,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
97,Uttar Pradesh,Street lights,WS/MP18222/2025-2026/171388,JAUNPUR(DISTRICT MAGISTRATE JAUNPUR_IDA),BABU SINGH KUSHWAHA,JAUNPUR,2026-07-21,Ajay Kumar Singh,Payment In-Progress,19992,False,Completed_On-going_Works.csv
