sr_no,state,work,work_id,ida,honble_members_of_parliament,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount_rupees,fund_disbursed_amount_rupees_invalid_negative,source_dataset
632,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/176731,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Smt Dimple Yadav,MAINPURI,2026-02-21,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
633,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/176740,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Smt Dimple Yadav,MAINPURI,2026-02-21,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
634,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/176739,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Smt Dimple Yadav,MAINPURI,2026-02-21,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
635,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/176741,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Smt Dimple Yadav,MAINPURI,2026-02-21,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
636,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/176730,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Smt Dimple Yadav,MAINPURI,2026-02-21,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
637,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/176719,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Smt Dimple Yadav,MAINPURI,2026-02-21,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
638,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/176717,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Smt Dimple Yadav,MAINPURI,2026-02-21,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
639,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/175843,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Smt Dimple Yadav,MAINPURI,2026-02-21,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
640,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/175844,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Smt Dimple Yadav,MAINPURI,2026-02-21,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
641,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/176744,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Smt Dimple Yadav,MAINPURI,2026-02-21,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
642,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/175842,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Smt Dimple Yadav,MAINPURI,2026-02-21,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
643,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/175846,MAINPURI(DISTRICT MAGISTRATE MAINPURI_IDA),Smt Dimple Yadav,MAINPURI,2026-02-21,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
644,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/198960,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),Smt Dimple Yadav,MAINPURI,2026-05-30,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
645,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/175847,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),Smt Dimple Yadav,MAINPURI,2026-05-30,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
646,Uttar Pradesh,Lighting of public spaces,WS/MP818/2025-2026/175845,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),Smt Dimple Yadav,MAINPURI,2026-05-30,KLK Ventures Private Limited,Payment In-Progress,15364,False,Completed_On-going_Works.csv
647,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18257/2025-2026/244002,Purba Medinipur(DISTRICT MAGISTRATE PURBA MEDINIPUR_IDA),ABHIJIT GANGOPADHYAY,TAMLUK,2026-08-25,Giri Construction,Payment In-Progress,448508,False,Completed_On-going_Works.csv
