sr_no,work_category,work,state,ida,honble_members_of_parliament,constituency,work_description,recommended_date,sanction_date,sanction_amount_rupees,work_status,sanction_amount_rupees_invalid_negative,source_dataset
1,Normal/Others,WS/ MP620/2024-2025/133166-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Bhavan at Navalgund TQ Belavatagi Village Pry No 1/A Near Shivanand Math Continue Work,2024-07-08,2024-07-09,497185.0,Physical Inspection,False,Works Sanctioned.csv
2,Trust and Society,WS/ MP620/2025-2026/133167-Construction of rooms and halls in school and colleges,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of College room of CBS Charitable Foudation at Nulvi Vilage Pry No 817/3 Continued work,2024-07-08,2025-09-18,500000.0,Sanction,False,Works Sanctioned.csv
3,Trust and Society,WS/ MP620/2024-2025/133190-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Bhavan of Veerashaiv Jangam Society (R) at Ward No 21 Chidamarnagar Dharwad,2024-07-08,2024-09-23,450000.0,Sanction,False,Works Sanctioned.csv
4,Normal/Others,WS/ MP620/2025-2026/133191-Construction of buildings for community cultural activities,Karnataka,HAVERI(DEPUTY COMMISSIONER HAVERI_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Maremma Cultural bhavan at Neerlgudda village Shiggava TQ,2024-07-08,2025-05-29,1500000.0,Work partially Completed,False,Works Sanctioned.csv
5,Normal/Others,WS/ MP620/2024-2025/133301-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,"Construction of Cultural Bhavan at Kundagol TQ, Chickgungal Village ST Colony, Pry No.202",2024-07-09,2024-08-22,398009.0,Physical Inspection,False,Works Sanctioned.csv
6,Normal/Others,WS/ MP620/2024-2025/133303-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Uppinbetageri Village Near Mallikarjun Temple Pry No1151,2024-07-09,2024-07-25,399104.0,Physical Inspection,False,Works Sanctioned.csv
7,Normal/Others,WS/ MP620/2024-2025/133304-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Shibargatti Village Near Hanamanth Temple Pry No 96,2024-07-09,2024-08-22,396154.0,Physical Inspection,False,Works Sanctioned.csv
8,Normal/Others,WS/ MP620/2025-2026/133305-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Hosategur Village Near Shri Girimalleshwar Math Pry No 518 Continue work,2024-07-09,2025-06-03,400000.0,Sanction,False,Works Sanctioned.csv
9,Normal/Others,WS/ MP620/2024-2025/133306-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Kardigudda Village Near Mallikarjun Temple Pry No 451/2,2024-07-09,2025-03-14,495627.0,Physical Inspection,False,Works Sanctioned.csv
10,Normal/Others,WS/ MP620/2024-2025/133307-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Tadakod Village Near Vittal Temple Pry No 319,2024-07-09,2024-08-17,398955.0,Physical Inspection,False,Works Sanctioned.csv
11,Normal/Others,WS/ MP620/2024-2025/133308-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Mulmuttal Village Near Beereshwar Temple Pry No 67,2024-07-09,2024-08-17,399304.0,Physical Inspection,False,Works Sanctioned.csv
12,Normal/Others,WS/ MP620/2024-2025/133309-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Nigadi Village Near Kalmeshwar Temple Pry No 101 Continued work,2024-07-09,2025-03-14,495031.0,Physical Inspection,False,Works Sanctioned.csv
13,Normal/Others,WS/ MP620/2024-2025/133310-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Cultural Bhavan at Parsapur Village Near Hanuman Temple Pry No 107,2024-07-09,2024-08-22,247583.0,Physical Inspection,False,Works Sanctioned.csv
14,Normal/Others,WS/ MP620/2024-2025/133311-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Cultural Bhavan at Chabbi Village Near Vithobha Temple Pry No 266/A,2024-07-09,2024-08-22,250000.0,Sanction,False,Works Sanctioned.csv
15,Normal/Others,WS/ MP620/2024-2025/133312-Construction of buildings for community cultural activities,Karnataka,DHARWAD(DEPUTY COMMISSIONER DHARWAR_IDA),Pralhad Venkatesh Joshi,DHARWAD,Construction of Community Hall at Ayahatti Village Near Beereshwar Temple Pry No 34,2024-07-09,2024-07-25,498091.0,Physical Inspection,False,Works Sanctioned.csv
16,Normal/Others,"WS/MP418/2024-2025/133409-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,ARARIA(DISTRICT PLANNING OFFICER ARARIA_IDA),Pradeep Kumar Singh,ARARIA,"PCC Road from Permeshwar Bhagat house to Ramdev Master house at ward no 15, uder Forbesganj Block.",2024-07-12,2024-07-14,448127.0,Physical Inspection,False,Works Sanctioned.csv
17,Normal/Others,WS/MP498/2024-2025/133447-Construction of culverts and bridges,West Bengal,Dakshin Dinajpur(DISTRICT MAGISTRATE DINAJPUR DAKSHIN_IDA),Dr Sukanta Majumdar,BALURGHAT,Phage 2: Concrete R.C.C. bridge,2024-07-13,2024-08-07,1602957.0,Physical Inspection,False,Works Sanctioned.csv
18,Normal/Others,"WS/MP577/2025-2026/133549-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khnagela game mota faliya ma c.c.road nu kam,2024-07-17,2025-04-11,250000.0,Physical Inspection,False,Works Sanctioned.csv
19,Normal/Others,"WS/MP577/2025-2026/133550-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),vijagadh game sampura balubhai na ghar thi kenal faliya sudhi c.c.road nu kam,2024-07-17,2025-10-07,245697.0,Sanction,False,Works Sanctioned.csv
20,Normal/Others,"WS/MP577/2025-2026/133551-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khangela game dharmesh na ghar taraf jata rasta par c.c.road nu kam,2024-07-17,2025-10-17,242105.0,Physical Inspection,False,Works Sanctioned.csv
21,Normal/Others,"WS/MP577/2025-2026/133552-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khapariya game damor faliya ma c.c.road nu kam,2024-07-17,2025-04-11,250000.0,Sanction,False,Works Sanctioned.csv
22,Normal/Others,"WS/MP577/2025-2026/133553-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),agavada game gamtal sarpanch faliya ma c.c.road nu kam,2024-07-17,2025-10-07,245697.0,Sanction,False,Works Sanctioned.csv
23,Normal/Others,WS/MP577/2025-2026/133554-Construction of shelters for animals,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),dashla game sarkari prathmik shala ma shed nu kam,2024-07-17,2025-10-17,245098.0,Sanction,False,Works Sanctioned.csv
24,Normal/Others,"WS/MP577/2025-2026/133556-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khapariiya game damor simada faliya faliya ma c.c.road nu kam,2024-07-17,2025-10-07,245697.0,Sanction,False,Works Sanctioned.csv
25,Normal/Others,WS/MP577/2025-2026/133557-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),VAROD SURPALI SADIYAVARU FALIYAMA AAVEL SARKARI SARVE NO.189-1 MA SAMUHIK KUVA NU KAM,2024-07-17,2026-01-02,250000.0,Sanction,False,Works Sanctioned.csv
26,Normal/Others,"WS/MP577/2025-2026/133558-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),varamkheda game mukhy rasta thi gamtal sudhi c.c.road nu kam,2024-07-17,2025-10-07,245697.0,Sanction,False,Works Sanctioned.csv
27,Normal/Others,"WS/MP577/2025-2026/133559-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),moti kharaj game dhanthadi c.c.road nu kam,2024-07-17,2025-10-17,245098.0,Sanction,False,Works Sanctioned.csv
28,Normal/Others,WS/MP577/2025-2026/133560-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nagrala game bamaniya faliya ma samuhik sinchai kuva nu kam,2024-07-17,2025-10-17,245826.0,Sanction,False,Works Sanctioned.csv
29,Normal/Others,WS/MP577/2025-2026/133561-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nasirpur game mavi faliya ma samuhik kuva nu kam,2024-07-17,2025-10-17,245826.0,Sanction,False,Works Sanctioned.csv
30,Normal/Others,"WS/MP577/2025-2026/133562-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),punsari game bhuriya faliya ma paka rasta ne jodto c.c.road nu kam,2024-07-17,2025-10-07,245697.0,Sanction,False,Works Sanctioned.csv
31,Normal/Others,"WS/MP577/2025-2026/133563-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),chandawada game toranvali mahudi faliya ma c.c.road nu kam,2024-07-17,2025-10-07,245697.0,Physical Inspection,False,Works Sanctioned.csv
32,Normal/Others,"WS/MP577/2025-2026/133564-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),DHAVADIYA GAME BORVA FALIYAMA C.C.ROADNU KAM,2024-07-17,2026-01-02,250000.0,Physical Inspection,False,Works Sanctioned.csv
33,Normal/Others,"WS/MP577/2025-2026/133565-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),simaliya khurd game gamtal thi majubhai na ghar sudhi c.c.road nu kam,2024-07-17,2025-04-11,250000.0,Physical Inspection,False,Works Sanctioned.csv
34,Normal/Others,"WS/MP577/2025-2026/133566-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),varamkheda game nadini bajuma c.c.road nu kam,2024-07-17,2025-10-07,250000.0,Sanction,False,Works Sanctioned.csv
35,Normal/Others,"WS/MP577/2025-2026/133567-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),bhutodi game mohaniya faliya ma c.c.road nu kam,2024-07-17,2025-10-17,245098.0,Physical Inspection,False,Works Sanctioned.csv
36,Normal/Others,"WS/MP577/2025-2026/133568-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),motikharaj game paka rasta thi bhabhor faliya sudhi c.c.road nu kam,2024-07-17,2025-10-07,245697.0,Sanction,False,Works Sanctioned.csv
37,Normal/Others,"WS/MP577/2025-2026/133569-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khangela game paka rasta thi dineshbai gundiya na ghar sudhi c.c.road nu kam,2024-07-17,2025-04-11,250000.0,Physical Inspection,False,Works Sanctioned.csv
38,Normal/Others,WS/MP577/2025-2026/133570-Providing drains and gutters for public drainage,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),gadoi game umriya kotar upar smshan jata rasta upar nala nu kam,2024-07-17,2025-04-11,250000.0,Sanction,False,Works Sanctioned.csv
39,Normal/Others,WS/MP577/2025-2026/133571-Providing drains and gutters for public drainage,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),bavka game mulka faliya thi smshan taraf jata rasta par nala nu kam,2024-07-17,2025-04-11,250000.0,Sanction,False,Works Sanctioned.csv
40,Normal/Others,WS/MP577/2025-2026/133572-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),katwara game hathila faliya ma samuhik kuva nu kam,2024-07-17,2025-10-17,245826.0,Sanction,False,Works Sanctioned.csv
41,Normal/Others,"WS/MP577/2025-2026/133573-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nani kharaj game bandikhedi panda faliya ma c.c.road nu kam,2024-07-17,2025-10-07,245697.0,Sanction,False,Works Sanctioned.csv
42,Normal/Others,"WS/MP577/2025-2026/133574-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),kathla game damar road thi parmar faliya sudhi c.c.road nu kam,2024-07-17,2025-10-07,245697.0,Sanction,False,Works Sanctioned.csv
43,Normal/Others,"WS/MP577/2024-2025/133575-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nalwai game chopadi faliya ma c.c.road nu kam,2024-07-17,2025-03-27,250000.0,Work partially Completed,False,Works Sanctioned.csv
44,Normal/Others,"WS/MP577/2024-2025/133576-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),garbada game kamliyavad faliyama c.c.road nu kam,2024-07-17,2025-03-27,250000.0,Sanction,False,Works Sanctioned.csv
45,Normal/Others,WS/MP577/2025-2026/133577-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),lilar game mavi faliya ma samuhik kuva nu kam,2024-07-17,2025-10-17,245826.0,Sanction,False,Works Sanctioned.csv
46,Normal/Others,"WS/MP577/2024-2025/133578-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),chharchhoda game bhabhor faliya thi aanganvadi ne jodto c.c.roadnu kam,2024-07-17,2025-03-27,250000.0,Sanction,False,Works Sanctioned.csv
47,Normal/Others,"WS/MP577/2025-2026/133579-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),bhutardi game bhuriya faliya ma c.c.road nu kam,2024-07-17,2025-10-04,247496.0,Physical Inspection,False,Works Sanctioned.csv
48,Normal/Others,"WS/MP577/2025-2026/133580-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),minakyar game bilval faliya ma c.c.road nu kam,2024-07-17,2025-10-04,247496.0,Sanction,False,Works Sanctioned.csv
49,Normal/Others,"WS/MP577/2025-2026/133581-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),kharva game rasulbhaina ghar pase nikalti sheri thi aanganvadi sudhi c.c.road nu kam,2024-07-17,2026-01-12,250000.0,Sanction,False,Works Sanctioned.csv
50,Normal/Others,WS/MP577/2025-2026/133582-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nelsur game aashram faliya ma saamuhik kuva nu kam,2024-07-17,2026-01-12,250000.0,Sanction,False,Works Sanctioned.csv
51,Normal/Others,WS/MP577/2025-2026/133583-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),ambli game khada faliya ma samuhik kuva nu kam,2024-07-17,2026-01-12,250000.0,Sanction,False,Works Sanctioned.csv
52,Normal/Others,"WS/MP577/2024-2025/133584-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),vajelav game sarpanch faliya ma c.c.road nu kam,2024-07-17,2025-03-27,249291.0,Physical Inspection,False,Works Sanctioned.csv
53,Normal/Others,"WS/MP577/2024-2025/133585-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),matwa game navi vsahat thi badarbhai plas na ghar sudhi c.c.road nu kam,2024-07-17,2025-03-27,250000.0,Physical Inspection,False,Works Sanctioned.csv
54,Normal/Others,"WS/MP577/2024-2025/133586-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),abhlod game indira nagari faliya ma c.c.road nu kam,2024-07-17,2025-03-27,249291.0,Sanction,False,Works Sanctioned.csv
55,Normal/Others,"WS/MP577/2025-2026/133587-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),zari burjarg game dungra faliya ma aanganvadi thi ramanbhai vanabhai na ghar sudhi c.c.road nu kam,2024-07-17,2025-10-04,247496.0,Sanction,False,Works Sanctioned.csv
56,Normal/Others,"WS/MP577/2024-2025/133588-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),rayan panchayat limbu faliya thi lilva talavne jodto c.c.road nu kam,2024-07-17,2025-03-27,250000.0,Physical Inspection,False,Works Sanctioned.csv
57,Normal/Others,WS/MP577/2025-2026/133589-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),boriyala game divaniya faliya ma samuhik kuva nu kam,2024-07-17,2026-01-12,250000.0,Sanction,False,Works Sanctioned.csv
58,Normal/Others,WS/MP577/2025-2026/133590-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),patiya game simada faliya ma samuhik kuva nu kam,2024-07-17,2026-01-12,250000.0,Sanction,False,Works Sanctioned.csv
59,Normal/Others,"WS/MP577/2025-2026/133591-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),abhlod game umriya umariya faliya thi pranmji mandir par c.c.road nu kam,2024-07-17,2026-01-12,250000.0,Physical Inspection,False,Works Sanctioned.csv
60,Normal/Others,"WS/MP577/2024-2025/133592-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),kharva game bhuriya faliya ma c.c.road nu kam,2024-07-17,2025-03-27,249291.0,Sanction,False,Works Sanctioned.csv
61,Normal/Others,WS/MP577/2025-2026/133593-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),DHAMANBARI GAME NISHAL FALIYAMA SAMUHIK KUVANU KAM,2024-07-17,2026-01-02,350000.0,Sanction,False,Works Sanctioned.csv
62,Normal/Others,"WS/MP577/2025-2026/133594-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),patiya game katara faliya thi samshan sudhi c.c.road nu kam,2024-07-17,2026-01-12,250000.0,Sanction,False,Works Sanctioned.csv
63,Normal/Others,"WS/MP577/2025-2026/133595-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nadhelav game bara na kotar thi shala taraf jata rasta par c.c.road nu kam,2024-07-17,2025-10-04,247496.0,Sanction,False,Works Sanctioned.csv
64,Normal/Others,"WS/MP577/2025-2026/133596-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),abhlod game mukhy rastaa thi bor faliya sudhi c.c.road nu kam,2024-07-17,2026-01-12,300000.0,Sanction,False,Works Sanctioned.csv
65,Normal/Others,"WS/MP577/2024-2025/133597-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nimach game nichvas faliya ma c.c.road nu kam,2024-07-17,2025-03-27,249291.0,Physical Inspection,False,Works Sanctioned.csv
66,Normal/Others,"WS/MP577/2024-2025/133598-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),vadva game bariya faliya anganvadi ne jodto c.c.road nu kam,2024-07-17,2025-03-27,249291.0,Sanction,False,Works Sanctioned.csv
67,Normal/Others,WS/MP577/2025-2026/133599-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),zarikhareli ma vaniya faliyama sarvajanik kuva nu kam,2024-07-17,2026-01-12,250000.0,Sanction,False,Works Sanctioned.csv
68,Normal/Others,"WS/MP577/2024-2025/133600-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),sahada game nishal faliya thi khaped faliya ne jodto c.c.road nu kam,2024-07-17,2025-03-27,249291.0,Physical Inspection,False,Works Sanctioned.csv
69,Normal/Others,"WS/MP577/2024-2025/133601-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nava faliya thi bamniya sudhi c.c.road nu kam,2024-07-17,2025-03-27,249291.0,Physical Inspection,False,Works Sanctioned.csv
70,Normal/Others,WS/MP577/2025-2026/133602-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),nadhelav game burva faliyama sarvjanik kuva nu kam,2024-07-17,2026-01-12,250000.0,Physical Inspection,False,Works Sanctioned.csv
71,Normal/Others,"WS/MP577/2025-2026/133603-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),rayan game paka road thi gamtal sudhi c.c.road nu kam,2024-07-17,2026-01-12,250000.0,Sanction,False,Works Sanctioned.csv
72,Normal/Others,WS/MP577/2025-2026/133604-Construction of public irrigation facilities,Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),PANIVED GAME KALADALA FALIYAMA SARKARI SARVE NUMBER 333 MA SAMUHIK KUVANU KAM,2024-07-17,2026-01-02,250000.0,Sanction,False,Works Sanctioned.csv
73,Normal/Others,"WS/MP577/2025-2026/133605-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),khalta garbadi game risol faliya ma c.c road nu kam,2024-07-17,2026-01-02,250000.0,Sanction,False,Works Sanctioned.csv
74,Normal/Others,"WS/MP577/2024-2025/133606-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),dumka game main road thi mukhy nishal sudhi c.c.road nu kam,2024-07-17,2025-03-16,250000.0,Sanction,False,Works Sanctioned.csv
75,Normal/Others,"WS/MP577/2024-2025/133607-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),motimalu game main road thi baheda faliya sudhi c.c.road nu kam,2024-07-17,2025-03-16,250000.0,Sanction,False,Works Sanctioned.csv
76,Normal/Others,"WS/MP577/2024-2025/133608-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,Dahod(DISTRICT COLLECTOR DOHAD_IDA),Jaswantsinh Sumanbhai Bhabhor,DAHOD(ST),dumka game anganvadi kendr number 4 par c.c.road nu kam,2024-07-17,2025-03-16,250000.0,Sanction,False,Works Sanctioned.csv
