sr_no,work_category,work,state,ida,honble_members_of_parliament,constituency,work_description,recommended_date,sanction_date,sanction_amount_rupees,work_status,sanction_amount_rupees_invalid_negative,source_dataset
10365,Normal/Others,WS/MP852/2024-2025/154567-Lighting of public spaces,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Installation of solar high mast light in front of Khularpukur Kabarsthan dag-2834 under bahagwangola GP,2024-11-24,2025-03-17,140538.0,Physical Inspection,False,Works Sanctioned.csv
10366,Normal/Others,"WS/MP852/2024-2025/154568-Construction of Government office buildings (Post office, Police station, Police chauki, etc.)",West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Construction for Morgue and green rooms with shade for pathways at hahiharpara police station,2024-11-24,2025-03-17,2386402.0,Physical Inspection,False,Works Sanctioned.csv
10367,Normal/Others,WS/MP852/2024-2025/154569-Construction of boundary walls of existing public and community buildings,West Bengal,MURSHIDABAD(DISTRICT MAGISTRATE MURSHIDABAD_IDA),Abu Taher Khan,MURSHIDABAD,Construction of Main gate at sahadiar high madrasha (h.s) within garaimari G.P under Domkal Block,2024-11-24,2025-03-17,489373.0,Physical Inspection,False,Works Sanctioned.csv
10368,Normal/Others,WS/MP18065/2024-2025/154575-Construction of community centers and community halls,Haryana,JHAJJAR(DEPUTY COMMISSIONER cum NODAL OFFICER MPLADS JHAJJAR),DEEPENDER SINGH HOODA,ROHTAK,Comp. of Hall near Mandir,2024-11-25,2025-01-27,250000.0,Work partially Completed,False,Works Sanctioned.csv
10369,Normal/Others,"WS/MP856/2024-2025/154576-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,Kurmanchal Nagar mein H.No. E-24 se H.No. E-105 Dono patriyo par interlocking tiles ka nirman karya. Length-200 Meter,2024-11-25,2025-01-20,756913.0,Physical Inspection,False,Works Sanctioned.csv
10370,Normal/Others,"WS/MP856/2024-2025/154577-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,H.No. D-1021 se H.No. D-1069 tak side patri interlocking avm nali nirman karya. Length-215 Meter,2024-11-25,2025-01-27,959562.0,Physical Inspection,False,Works Sanctioned.csv
10371,Normal/Others,"WS/MP856/2024-2025/154578-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,PAC Rahinagar mein Appu Park ke kinare Pathway ka tiles ka nirman karya. Length-125 Meter,2024-11-25,2025-01-20,973743.0,Physical Inspection,False,Works Sanctioned.csv
10372,Normal/Others,"WS/MP856/2024-2025/154579-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,"E-58, Srivastava ji ke Makan se E-7 Pili Kothi ke side matri interlocking Sadak Nali ka nirman karya. Length-120 Meter",2024-11-25,2025-01-20,896394.0,Physical Inspection,False,Works Sanctioned.csv
10373,Normal/Others,WS/MP18159/2024-2025/154581-Construction of public libraries and reading rooms,Rajasthan,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),BHUPENDER YADAV,ALWAR,"Construction work of library room with veranda in Government Higher Secondary School, Nagli Megha, G.P. Nagli Megha, P.S. Ramgarh",2024-11-25,2024-12-22,988259.0,Physical Inspection,False,Works Sanctioned.csv
10374,Normal/Others,"WS/MP18188/2024-2025/154582-Construction of roads, link roads, pathways or any other road with or without drainage system",Telangana,RANGA REDDY(DISTRICT COLLECTOR RANGAREDDY_IDA),KONDA VISHWESHWAR REDDY,CHELVELLA,Laying of CC Road from Bodapothula Narayana House to Ramchandra Reddy House at Devuni Yerravally Village of Chevella Mandal,2024-11-25,2025-02-12,423500.0,Physical Inspection,False,Works Sanctioned.csv
