sr_no,work_category,work,state,ida,honble_members_of_parliament,elected_nominated,work_description,recommended_date,recommended_amount_rupees,sanction_date,recommended_amount_rupees_invalid_negative,source_dataset
19400,Normal/Others,"NA-Purchase of IT systems, including hardware and software for educational purposes",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Akhilesh Prasad Singh (2024-30) (2024-2030),Elected MP,Purchase and procurement of lT Hardware and Software will be used for educational purposes in A N College Patna,2026-03-25,1200000.0,,False,Works_Recommended.csv
19401,Trust and Society,WS/MP18373/2026-2027/275867-Construction of additional rooms and halls in the existing public and community building,Andhra Pradesh,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),Shri Yerram Venkata Subba Reddy (2024-30) (2024-2030),Elected MP,"Providing additional amenities to Reddy Sangam Community Bhavan at Papireddypalle, Ankisettypalle Village, Madanapalle mandal",2026-03-25,1000000.0,2026-04-17,False,Works_Recommended.csv
19402,Normal/Others,WS/MP204/2026-2027/275875-Construction of community centers and community halls,Uttarakhand,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),Dr. Kalpana Saini (2022-28) (2022-2028),Elected MP,"Construction of a Hall at Nirvan Ashram, Malviya Chowk, Railway Road, Roorkee. (To complete previously assigned work)",2026-03-26,1000000.0,2026-05-15,False,Works_Recommended.csv
19403,Normal/Others,WS/MP204/2026-2027/275877-Construction of community centers and community halls,Uttarakhand,HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA),Dr. Kalpana Saini (2022-28) (2022-2028),Elected MP,"Construction of warehouse for storing cremation wood at Nirvan Ashram, Malviya Chowk, Railway Road, Roorkee, District Haridwar",2026-03-26,1000000.0,2026-05-15,False,Works_Recommended.csv
19404,Normal/Others,"NA-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttarakhand,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Dr. Kalpana Saini (2022-28) (2022-2028),Elected MP,"Construction of a C.C. Road form Burashkhand to Chawad Gaar in Village Gairi (Brahmanon ki), Block Pratapnagar.",2026-03-26,400000.0,,False,Works_Recommended.csv
19405,Normal/Others,NA-Construction of community centers and community halls,Uttarakhand,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Dr. Kalpana Saini (2022-28) (2022-2028),Elected MP,"Construction of Tin Shed at the Jwalamukhi site in Village Koti (Balma), Block Chamba, Tehri Garhwal",2026-03-26,700000.0,,False,Works_Recommended.csv
19406,Normal/Others,"WS/MP204/2026-2027/275900-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Uttarakhand,"PITHORAGARH(NRLM , pithoragarh)",Dr. Kalpana Saini (2022-28) (2022-2028),Elected MP,"Construction of protective wall to prevent soil erosion in Kharkoli Hamlet, Gram Panchayat Askora, Block Gangolihat.",2026-03-26,2000000.0,2026-04-23,False,Works_Recommended.csv
19407,Normal/Others,WS/MP204/2026-2027/275906-Construction of community centers and community halls,Uttarakhand,DEHRADUN(DISTRICT MAGISTRATE DEHRADUN_IDA),Dr. Kalpana Saini (2022-28) (2022-2028),Elected MP,"Construction of Tin shed at Ranigaanv Panchayat Chowk, kalsi Block Dehradun",2026-03-26,400000.0,2026-05-23,False,Works_Recommended.csv
19408,Normal/Others,WS/MP204/2026-2027/275910-Development of public parks,Uttarakhand,TEHRI GARHWAL(DISTRICT MAGISTRATE TEHRI GARHWAL_IDA),Dr. Kalpana Saini (2022-28) (2022-2028),Elected MP,"Construction of Boundary Wall and Park at Panchayat chowk (Naagraja Name Tok), Village Nandoli, Block Devprayag, Tehri Garhwal",2026-03-26,700000.0,2026-06-18,False,Works_Recommended.csv
19409,Normal/Others,"WS/MP147/2026-2027/275911-Construction of roads, link roads, pathways or any other road with or without drainage system",Rajasthan,JAISALMER(DISTRICT COLLECTOR JAISLAMER_IDA),Shri Pramod Tiwari (2022-28) (2022-2028),Elected MP,For construction of gravel road from Pohra village to Hariyak Ji temple in Gram Panchayat Hada.,2026-03-25,1500000.0,2026-07-11,False,Works_Recommended.csv
