sr_no,work_category,work,state,ida,honble_members_of_parliament,elected_nominated,work_description,recommended_date,recommended_amount_rupees,sanction_date,recommended_amount_rupees_invalid_negative,source_dataset
1,Normal/Others,WS/MP187/2023-2024/1199-Construction of rooms and halls in school and colleges,Uttar Pradesh,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Class room Sompal Singh Memorial Public School,2023-06-14,1000000.0,2023-11-07,False,Works_Recommended.csv
2,Normal/Others,WS/MP187/2023-2024/1200-Construction of rooms and halls in school and colleges,Uttar Pradesh,SAMBHAL(DISTRICT MAGISTRAE BHIMNAGAR SAMBHAL_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Class room and Hall Sainik Veer Abdul Hamid Uchhtar madhyamik Vidyalaya,2023-06-14,1000000.0,2023-12-08,False,Works_Recommended.csv
3,Normal/Others,WS/MP187/2023-2024/1211-Construction of rooms and halls in school and colleges,Uttar Pradesh,ETAWAH(DISTRICT MAGISTRATE ETAWAH_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,Construction of Classroom and hall Galaxy Public School lakhna,2023-06-14,1000000.0,2024-03-15,False,Works_Recommended.csv
4,Normal/Others,"WS/MP001/2023-2024/1215-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1484933.0,2023-08-12,False,Works_Recommended.csv
5,Normal/Others,"WS/MP001/2023-2024/1216-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1486089.0,2023-08-12,False,Works_Recommended.csv
6,Normal/Others,"WS/MP001/2023-2024/1217-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1484550.0,2023-08-12,False,Works_Recommended.csv
7,Normal/Others,"WS/MP001/2023-2024/1218-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,P.C.C ??? ?? ???????,2023-06-14,1484940.0,2023-08-12,False,Works_Recommended.csv
8,Normal/Others,WS/MP190/2023-2024/1301-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi HighMast Light,2023-06-19,243000.0,2023-08-24,False,Works_Recommended.csv
9,Normal/Others,WS/MP190/2023-2024/1302-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,243000.0,2023-08-24,False,Works_Recommended.csv
10,Normal/Others,WS/MP190/2023-2024/1303-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED SEMI High Mast Light,2023-06-19,243000.0,2023-08-24,False,Works_Recommended.csv
11,Normal/Others,WS/MP190/2023-2024/1304-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,243000.0,2023-08-24,False,Works_Recommended.csv
12,Normal/Others,WS/MP190/2023-2024/1305-Street lights,Uttar Pradesh,SHAHJAHANPUR(DISTRICT MAGISTRAE SHAHJAHANAPUR_IDA),Shri Mithlesh Kumar (2022-28) (2022-2028),Elected MP,LED Semi Highmast Light,2023-06-19,243000.0,2023-08-24,False,Works_Recommended.csv
13,Normal/Others,WS/MP187/2023-2024/1362-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Light ( 6 lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
14,Normal/Others,WS/MP187/2023-2024/1363-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
15,Normal/Others,WS/MP187/2023-2024/1364-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Lights ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
16,Normal/Others,WS/MP187/2023-2024/1365-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
17,Normal/Others,WS/MP187/2023-2024/1366-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Light,2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
18,Normal/Others,WS/MP187/2023-2024/1367-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light,2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
19,Normal/Others,WS/MP187/2023-2024/1368-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Lights ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
20,Normal/Others,WS/MP187/2023-2024/1369-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Lights,2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
21,Normal/Others,WS/MP187/2023-2024/1370-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Lights ( 6 lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
22,Normal/Others,WS/MP187/2023-2024/1371-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
23,Normal/Others,WS/MP187/2023-2024/1372-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
24,Normal/Others,WS/MP187/2023-2024/1373-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
25,Normal/Others,WS/MP187/2023-2024/1374-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Lights ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
26,Normal/Others,WS/MP187/2023-2024/1375-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask StreetLights ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
27,Normal/Others,WS/MP187/2023-2024/1376-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
28,Normal/Others,WS/MP187/2023-2024/1377-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MaskStreet Lights ( 6 Light),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
29,Normal/Others,WS/MP187/2023-2024/1378-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High MAsk Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
30,Normal/Others,WS/MP187/2023-2024/1379-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
31,Normal/Others,WS/MP187/2023-2024/1380-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Lights ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
32,Normal/Others,WS/MP187/2023-2024/1381-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
33,Normal/Others,"WS/MP001/2023-2024/1411-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,???? ????? ??? ?? ??????? ???? ??? ???? ????? ??? ???? ??? ????? ????? ?? ?? ?? ??. ??? ??? ???? ?? ?? ?? ?? ???? ???? ???? ??? ??? ???? ???? ??? ??? ??? ?? ???????,2023-06-21,1484100.0,2023-09-15,False,Works_Recommended.csv
34,Normal/Others,WS/MP187/2023-2024/1419-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
35,Normal/Others,WS/MP187/2023-2024/1420-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
36,Normal/Others,WS/MP187/2023-2024/1421-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
37,Normal/Others,WS/MP187/2023-2024/1422-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
38,Normal/Others,WS/MP187/2023-2024/1423-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
39,Normal/Others,WS/MP187/2023-2024/1424-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
40,Normal/Others,WS/MP187/2023-2024/1425-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
41,Normal/Others,WS/MP187/2023-2024/1426-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
42,Normal/Others,WS/MP187/2023-2024/1427-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
43,Normal/Others,WS/MP187/2023-2024/1428-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
44,Normal/Others,WS/MP187/2023-2024/1429-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
45,Normal/Others,WS/MP187/2023-2024/1430-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
46,Normal/Others,WS/MP187/2023-2024/1431-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
47,Normal/Others,WS/MP187/2023-2024/1432-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
48,Normal/Others,WS/MP187/2023-2024/1433-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
49,Normal/Others,WS/MP187/2023-2024/1434-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
50,Normal/Others,WS/MP187/2023-2024/1435-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
51,Normal/Others,WS/MP187/2023-2024/1436-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,DUDHIYa MANDIR PILIBHIT,2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
52,Normal/Others,WS/MP187/2023-2024/1437-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
53,Normal/Others,WS/MP187/2023-2024/1438-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,High Mask LED Street Light ( 6 Lights),2023-06-21,283000.0,2023-07-07,False,Works_Recommended.csv
54,Normal/Others,"WS/MP106/2023-2024/1439-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,Narsimhapur(DISTRICT COLLECTOR NARSINGHPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,paber block work in ground government sanjay middle school police narsinghpur,2023-06-22,500000.0,2023-09-20,False,Works_Recommended.csv
55,Normal/Others,WS/MP106/2025-2026/1464-Construction of culverts and bridges,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Panchayat Nuniya Kalan, Janpad Panchayat Panagar ke gram Nuniya Kalan ke Bajrai Nala ke pas Puliya nirman, Jabalpur",2023-06-22,500000.0,2026-01-31,False,Works_Recommended.csv
56,Normal/Others,"WS/MP001/2023-2024/1487-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,"?????? ???? ????, ??? ?????? ??? ??0??0??0 ??? ?? ??????? ????? ?",2023-06-23,1385546.0,2023-10-26,False,Works_Recommended.csv
57,Normal/Others,"WS/MP001/2023-2024/1488-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??0??0??0 ??? ?? ??????? ?????,2023-06-23,1486150.0,2023-10-26,False,Works_Recommended.csv
58,Normal/Others,"WS/MP001/2023-2024/1489-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??0??0??0 ??? ?? ???????,2023-06-23,1198135.0,2023-10-26,False,Works_Recommended.csv
59,Normal/Others,"WS/MP001/2023-2024/1490-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??0??0??0 ??? ?? ??????? ?????,2023-06-23,897400.0,2023-10-26,False,Works_Recommended.csv
60,Normal/Others,"WS/MP001/2023-2024/1493-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??0??0??0 ??? ??????? ?????,2023-06-23,1484800.0,2023-09-05,False,Works_Recommended.csv
61,Normal/Others,"WS/MP001/2023-2024/1494-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??? ??????? ?????,2023-06-23,989898.0,2023-08-12,False,Works_Recommended.csv
62,Normal/Others,"WS/MP001/2023-2024/1495-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Shri Shambhu Sharan Patel (2022-28) (2022-2028),Elected MP,??? ??????? ?????,2023-06-23,989710.0,2023-08-12,False,Works_Recommended.csv
63,Normal/Others,WS/MP187/2023-2024/1496-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
64,Normal/Others,WS/MP187/2023-2024/1497-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
65,Normal/Others,WS/MP187/2023-2024/1498-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
66,Normal/Others,WS/MP187/2023-2024/1499-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
67,Normal/Others,WS/MP187/2023-2024/1500-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
68,Normal/Others,WS/MP187/2023-2024/1501-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
69,Normal/Others,WS/MP187/2023-2024/1502-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
70,Normal/Others,WS/MP187/2023-2024/1503-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
71,Normal/Others,WS/MP187/2023-2024/1504-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
72,Normal/Others,WS/MP187/2023-2024/1505-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
73,Normal/Others,WS/MP187/2023-2024/1506-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
74,Normal/Others,WS/MP187/2023-2024/1507-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
75,Normal/Others,WS/MP187/2023-2024/1508-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
76,Normal/Others,WS/MP187/2023-2024/1509-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
77,Normal/Others,WS/MP187/2023-2024/1510-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
78,Normal/Others,WS/MP187/2023-2024/1511-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
79,Normal/Others,WS/MP187/2023-2024/1512-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
80,Normal/Others,WS/MP187/2023-2024/1513-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
81,Normal/Others,WS/MP187/2023-2024/1514-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
82,Normal/Others,WS/MP187/2023-2024/1515-Street lights,Uttar Pradesh,PILIBHIT(DISTRICT MAGISTRAE PILIBHIT_IDA),Shri Javed Ali Khan (2022-28) (2022-2028),Elected MP,HIGH MASK LED STREET LIGHT ( 6 LIGHTS),2023-06-23,283000.0,2023-07-07,False,Works_Recommended.csv
83,Normal/Others,WS/MP106/2025-2026/1516-Development of playground,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"Gram Nagna, Gram Panchayat Nagna, Janpad Panchayat Panagar ke Govt. Middle School Bhawan Parisar me Pevar Block kary hetu, District Jabalpur",2023-06-23,600000.0,2025-05-15,False,Works_Recommended.csv
84,Normal/Others,WS/MP106/2023-2024/1517-Construction of buildings for community cultural activities,Madhya Pradesh,JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA),Shri Vivek K. Tankha (2022-28) (2022-2028),Elected MP,"????? ???? ??????????, ????? ?????? ?????, ???? ?????? ????? ???? ?????? ??? ?????? ??????? ????.",2023-06-23,300000.0,2023-08-11,False,Works_Recommended.csv
