sr_no,work_category,work,state,ida,work_description,honble_members_of_parliament,constituency,image,completion_date,amount_disbursed_rupees,amount_disbursed_rupees_invalid_negative,source_dataset
3205,Normal/Others,WS/MP825/2024-2025/150726-Lighting of public spaces,West Bengal,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),"Supply and Instalation of 1 no Mini Highmast at Tripura Roy Lane, Under ward no-11 of HMC at A.C 170 in MPLAD Scheme",Prasun Banerjee,HOWRAH,Images,2025-04-02,189183.0,False,Works Completed.csv
3206,Normal/Others,WS/MP18138/2024-2025/148813-Construction of toilet blocks,Mizoram,"Siaha(Deputy Commissioner, Siaha)",Construction of Urinal Shed at Vahia,RICHARD VANLALHMANGAIHA,MIZORAM (ST),,2026-02-11,250000.0,False,Works Completed.csv
3207,Normal/Others,WS/MP18162/2024-2025/163639-Construction of footpaths and pedestrian ways,Rajasthan,BHILWARA(DISTRICT COLLECTOR BHILWARA_IDA),Bada Devra ke pas Chauk me Pewar Block Kary Vill-Algwas GP Bhabhana,DAMODAR AGARWAL,BHILWARA,,2026-01-11,499700.0,False,Works Completed.csv
3208,Normal/Others,WS/MP18311/2024-2025/149557-Construction of stadiums,Punjab,S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA),Construction of Stadium and play Ground at village Khizarabad,MALVINDER SINGH KANG,ANANDPUR SAHIB,Images,2026-01-19,500000.0,False,Works Completed.csv
3209,Normal/Others,WS/MP18178/2024-2025/174367-Purchase of furniture and fixtures for educational purposes,Tamil Nadu,KALLAKURICHI(District Collector Kallakurichi_IDA),Procurement and supply of bench and desk to Ariyalur Govt Boys Higher Sec School (46 set),MALAIYARASAN D,KALLAKURICHI,,2025-11-21,960756.0,False,Works Completed.csv
3210,Normal/Others,"WS/MP18152/2024-2025/166731-Construction of roads, link roads, pathways or any other road with or without drainage system",Punjab,FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA),Laying of interlocking tiles on Entry Gate of Nehru Stadium,SARABJEET SINGH KHALSA,FARIDKOT(SC),,2025-04-28,225000.0,False,Works Completed.csv
3211,Normal/Others,WS/MP18338/2024-2025/155948-Street lights,Telangana,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),PROVIDING OF STREET LIGHTS IN NARSAPURAM VILLAGE,CHAMALA KIRAN KUMAR REDDY,BHONGIR,,2025-02-19,100000.0,False,Works Completed.csv
3212,Normal/Others,WS/MP18338/2024-2025/155947-Street lights,Telangana,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),PROVIDING OF STREET LIGHTS IN PARUPALLY VILLAGE,CHAMALA KIRAN KUMAR REDDY,BHONGIR,,2025-02-19,100000.0,False,Works Completed.csv
3213,Normal/Others,WS/MP18338/2024-2025/155950-Street lights,Telangana,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),PROVIDING OF STREET LIGHTS IN NEMILA VILLAGE,CHAMALA KIRAN KUMAR REDDY,BHONGIR,,2025-02-19,100000.0,False,Works Completed.csv
3214,Normal/Others,WS/MP18338/2024-2025/155952-Street lights,Telangana,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),PROVIDING OF STREET LIGHTS IN BASANTHAPURAM VILLAGE,CHAMALA KIRAN KUMAR REDDY,BHONGIR,,2025-02-19,100000.0,False,Works Completed.csv
3215,Normal/Others,WS/MP18338/2024-2025/155946-Street lights,Telangana,YADADRI BHUVANAGIRI(DISTRICT COLLECTOR YADADRI BHUVANAGIRI_IDA),PROVIDING OF STREET LIGHTS IN SOMARAM VILLAGE,CHAMALA KIRAN KUMAR REDDY,BHONGIR,,2025-02-19,100000.0,False,Works Completed.csv
3216,Normal/Others,"WS/MP18069/2024-2025/163016-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA),Construction of Pucca Path with drain at Lower Dhabrain Phase-II,RAJEEV BHARDWAJ,KANGRA,Images,2026-01-30,200000.0,False,Works Completed.csv
3217,Normal/Others,"WS/MP017/2024-2025/166510-Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides",Tamil Nadu,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),Construction of Retainning Wall around Kosasthali River near Sangeetkuppam,S. Jagathrakshakan,ARAKKONAM,,2025-02-20,989987.0,False,Works Completed.csv
3218,Normal/Others,WS/MP18225/2024-2025/143679-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),Vijai Pasi S/o Durjan Pasi ke Ghar ke samne Handpump,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,2026-02-05,73934.0,False,Works Completed.csv
3219,Normal/Others,WS/MP18225/2024-2025/144029-Installing hand pumps,Uttar Pradesh,KAUSHAMBI(DISTRICT MAGISTRAE KAUSHAMBI_IDA),Allipur Masjid ke samne handpump,PUSHPENDRA SAROJ,KAUSHAMBI(SC),Images,2026-02-05,73934.0,False,Works Completed.csv
3220,Normal/Others,"WS/MP18321/2024-2025/143692-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA),Construction of a road leading to the study center of Rabari Samaj from the state road from Talod to Wakatapur at Mahiyal village.,SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,Images,2025-08-08,300000.0,False,Works Completed.csv
3221,Normal/Others,WS/MP524/2024-2025/157643-Construction of artificial reef,Andhra Pradesh,Annamayya(DISTRICT COLLECTOR ANNAMAYYA_IDA),"Providing Artificial leg to Mr Ganes, Pileru (V&G.P) Physically Challenged",Midhun Reddy,RAJAMPET,Images,2025-02-20,75000.0,False,Works Completed.csv
3222,Normal/Others,"WS/MP370/2024-2025/140207-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),"Computer Education project at Govt. U.P. School, Gailo, GP-Jaisar, Block-Subdega",Shri Jual Oram,SUNDARGARH (ST),Images,2025-02-21,480000.0,False,Works Completed.csv
3223,Normal/Others,WS/MP18159/2024-2025/145800-Construction of public libraries and reading rooms,Rajasthan,ALWAR(DISTRICT COLLECTOR ALWAR_IDA),R.U.P.V. Construction work of library room with veranda in Mangleshpur. G.P. Senthli P.S. Ramgarh (Alwar),BHUPENDER YADAV,ALWAR,Images,2025-08-07,980408.0,False,Works Completed.csv
3224,Normal/Others,WS/MP18032/2024-2025/163528-Installing tube-wells and borewells,Bihar,KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),Install tube-well in west side of jevari village near temple,SUDHAKAR SINGH,BUXAR,,2025-02-20,232171.0,False,Works Completed.csv
3225,Normal/Others,"WS/MP18109/2024-2025/150119-Construction of roads, link roads, pathways or any other road with or without drainage system",Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),GRAM PANCHAYAT KURRWAH KE GRAM MADHURI PAWAI ME MAIN ROAD SE SUSHIL GAUTAM KE GHAR TAK NAVEEN SADAK NIRMAN,DR. RAJESH MISHRA,SIDHI,,2025-09-08,998305.0,False,Works Completed.csv
3226,Normal/Others,"WS/MP18321/2024-2025/149053-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA),Construction Work on CC Road at Bakshipanch Faliya At Navalpur village,SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,Images,2025-08-08,500000.0,False,Works Completed.csv
3227,Normal/Others,"WS/MP18321/2024-2025/152534-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,SABAR KANTHA(DISTRICT COLLECTOR SABARKANTHA_IDA),Paver block work near vadi at Salatpur village of Talod taluka,SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,Images,2025-08-08,500000.0,False,Works Completed.csv
3228,Normal/Others,WS/MP18089/2024-2025/160216-Lighting of public spaces,Karnataka,KOPPAL(DEPUTY COMMISSIONER KOPPAL_IDA),Installation of solar street lights on the road from Koppal-Gadag road to Patan Masjid in Koppal city. [Ward no. 23],K. RAJASHEKAR BASAVARAJ HITNAL,KOPPAL,Images,2025-05-23,498724.0,False,Works Completed.csv
3229,Normal/Others,"WS/MP18144/2024-2025/141589-Construction of roads, link roads, pathways or any other road with or without drainage system",Odisha,KALAHANDI(DISTRICT COLLECTOR KALAHANDI_IDA),Construction of CC road from PWD road to Deypur UP School.,MALVIKA DEVI,KALAHANDI,,2025-10-30,300000.0,False,Works Completed.csv
3230,Normal/Others,"WS/MP18069/2024-2025/163020-Construction of roads, link roads, pathways or any other road with or without drainage system",Himachal Pradesh,CHAMBA(DEPUTY COMMISSIONER CHAMBA_IDA),construction of Pewar Path with Reling Jala at Nag Mandir Pekaiyadu to Kholadi.,RAJEEV BHARDWAJ,KANGRA,Images,2025-12-17,146244.0,False,Works Completed.csv
3231,Normal/Others,WS/MP18155/2024-2025/161799-Construction of community centers and community halls,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Consturction of Community Centre,DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),,2025-10-28,300000.0,False,Works Completed.csv
3232,Normal/Others,WS/MP858/2024-2025/148955-Street lights,West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),INSTALLATION OF 53 NO STREET LIGHT FROM LAGHATA MORE TO BAKUL VILLAGE MORE. EXECUTING AGENCY WILL BE E.O.LABPUR PANCHAYT SAMITY.,Asit Kumar Mal,BOLPUR(SC),Images,2026-07-22,2298150.0,False,Works Completed.csv
3233,Normal/Others,"WS/MP370/2024-2025/140209-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),"Computer Education project at Govt. U.P. School, Jamuna, GP-Jamuna, Block-Subdega",Shri Jual Oram,SUNDARGARH (ST),Images,2025-02-21,480000.0,False,Works Completed.csv
3234,Normal/Others,WS/MP858/2024-2025/148954-Street lights,West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),"INSTALLATION 53 NO STREET LIGHT FROM LABPUR REGISTRY OFFICE MORE TO SASTINAGAR BUS STAND,EXECUTING AGENCY WILL BE E.O.LABPUR PANCHAYT SAMITY.",Asit Kumar Mal,BOLPUR(SC),Images,2026-07-22,2298150.0,False,Works Completed.csv
3235,Normal/Others,WS/MP761/2024-2025/164716-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Construction of Community hall in Reddy wadaat Maithapur (V) Raikal (M),Arvind Dharmapuri,NIZAMABAD,,2025-08-19,357000.0,False,Works Completed.csv
3236,Normal/Others,WS/MP858/2024-2025/134463-Street lights,West Bengal,BIRBHUM(DISTRICT MAGISTRATE BIRBHUM_IDA),"Installation of high mast street light at sahispur ,Executing Agency will be EO sainthia panchayet samity.",Asit Kumar Mal,BOLPUR(SC),,2025-02-21,481037.0,False,Works Completed.csv
3237,Normal/Others,"WS/MP370/2024-2025/140210-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),"Computer Education project at Govt. U.P. School, Baurimunda, GP- Rajpur, Block-Subdega",Shri Jual Oram,SUNDARGARH (ST),Images,2025-02-21,480000.0,False,Works Completed.csv
3238,Normal/Others,"WS/MP370/2024-2025/140211-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),"Computer Education project at Govt. U.P. School, Tedgamuha, GP-Rajpur, Block-Subdega",Shri Jual Oram,SUNDARGARH (ST),Images,2025-02-21,480000.0,False,Works Completed.csv
3239,Normal/Others,"WS/MP370/2024-2025/140208-Purchase of IT systems, including hardware and software for educational purposes",Odisha,Sundaragada(DISTRICT COLLECTOR SUNDARGARH_IDA),"Computer Education project at Govt. U.P. School, Luhurenberni, GP-Hamirpur, Block-Subdega",Shri Jual Oram,SUNDARGARH (ST),Images,2025-02-21,480000.0,False,Works Completed.csv
3240,Normal/Others,WS/MP18155/2024-2025/141568-Construction of community centers and community halls,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Repair of Janj Garh,DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),Images,2025-02-22,200000.0,False,Works Completed.csv
3241,Normal/Others,"WS/MP719/2024-2025/161812-Construction of roads, link roads, pathways or any other road with or without drainage system",Rajasthan,AJMER(DISTRICT COLLECTOR AJMER_IDA),Construction of gravel road from Foju khan's House to Jasvir singh's well. Gram panchayat Khatoli,Bhagirath Chaudhary,AJMER,,2025-08-25,489564.0,False,Works Completed.csv
3242,Normal/Others,WS/MP18155/2024-2025/141699-Development of public parks,Punjab,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),Construction of Park,DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),,2026-01-06,200000.0,False,Works Completed.csv
3243,Normal/Others,WS/MP405/2024-2025/140236-Providing supply pipelines for drinking water,Andhra Pradesh,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Providing supply pipelines and motor for drinking water at Dantaguntla GP of Bapulapadu Mandal in Krishna District,Balashowry Vallabbhaneni,MACHILIPATNAM,,2025-02-22,299297.0,False,Works Completed.csv
3244,Normal/Others,WS/MP561/2024-2025/142714-Installing tube-wells and borewells,Bihar,PATNA(DISTRICT PLANNING OFFICER PATNA_IDA),Boring and water supply work at a public place located at Karmali Chak in Ward No. 68 under Patna Sahib Assembly.,Ravi Shankar Prasad,PATNA SAHIB,Images,2025-03-01,246500.0,False,Works Completed.csv
3245,Normal/Others,WS/MP18006/2024-2025/141508-Construction of rooms and halls in school and colleges,Andhra Pradesh,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),"Renovation of SW Boys Hostel Building at P. Kothakota of Puthalapattu Mandal, Puthalapattu Constituency.",DAGGUMALLA PRASADA RAO,CHITTOOR,Images,2025-02-22,1517960.0,False,Works Completed.csv
3246,Normal/Others,WS/MP761/2024-2025/171858-Construction of community centers and community halls,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),"Construction of community hall in Gudeti reddy Wada,",Arvind Dharmapuri,NIZAMABAD,,2025-08-19,268123.0,False,Works Completed.csv
3247,Normal/Others,WS/MP761/2024-2025/138984-Construction of community centers and community halls,Telangana,NIZAMABAD(DISTRICT COLLECTOR NIZAMABAD_IDA),Construction of community hall in Vishwabrahmana Wada,Arvind Dharmapuri,NIZAMABAD,,2025-02-22,400000.0,False,Works Completed.csv
3248,Normal/Others,WS/MP18109/2024-2025/150130-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),AMARWAH ME BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-10-13,259942.0,False,Works Completed.csv
3249,Normal/Others,WS/MP18109/2024-2025/150136-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BARI BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-02-28,259942.0,False,Works Completed.csv
3250,Normal/Others,WS/MP18109/2024-2025/150135-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BARAMBABA BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-10-13,259942.0,False,Works Completed.csv
3251,Normal/Others,WS/MP18109/2024-2025/150134-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BANJARI BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-10-13,259942.0,False,Works Completed.csv
3252,Normal/Others,WS/MP18109/2024-2025/150133-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BAMHANI BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-02-28,259942.0,False,Works Completed.csv
3253,Normal/Others,WS/MP18109/2024-2025/150132-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BAGHAU ME BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-10-13,259942.0,False,Works Completed.csv
3254,Normal/Others,WS/MP18109/2024-2025/150131-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BADHAURA ME BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-02-28,259942.0,False,Works Completed.csv
3255,Normal/Others,WS/MP18109/2024-2025/150143-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DEOGARH BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-10-13,259942.0,False,Works Completed.csv
3256,Normal/Others,WS/MP18109/2024-2025/150142-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DEMHA BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-10-13,259942.0,False,Works Completed.csv
3257,Normal/Others,WS/MP18109/2024-2025/150141-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),CHULHI BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-10-13,259942.0,False,Works Completed.csv
3258,Normal/Others,WS/MP18109/2024-2025/150140-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),CHHUHIYA BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-10-13,259942.0,False,Works Completed.csv
3259,Normal/Others,WS/MP18109/2024-2025/150139-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),CHAUPHAL KOTHAR BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-02-28,259942.0,False,Works Completed.csv
3260,Normal/Others,WS/MP18109/2024-2025/150138-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BISUNI TOLA BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-10-13,259942.0,False,Works Completed.csv
3261,Normal/Others,WS/MP18109/2024-2025/150150-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DUBARI KALA BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-10-13,259942.0,False,Works Completed.csv
3262,Normal/Others,WS/MP18109/2024-2025/150149-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),KHAMH BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-02-28,259942.0,False,Works Completed.csv
3263,Normal/Others,WS/MP18109/2024-2025/150148-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),KARWAHI BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-10-13,259942.0,False,Works Completed.csv
3264,Normal/Others,WS/MP18109/2024-2025/150147-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),KARIMATI BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-07,259942.0,False,Works Completed.csv
3265,Normal/Others,WS/MP18109/2024-2025/150146-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),JHAGARAHA BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-07,259942.0,False,Works Completed.csv
3266,Normal/Others,WS/MP18109/2024-2025/150145-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),GHANDHIGRAM BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-07,259942.0,False,Works Completed.csv
3267,Normal/Others,WS/MP18109/2024-2025/150144-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),DHANKHORI BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-02-28,259942.0,False,Works Completed.csv
3268,Normal/Others,WS/MP18109/2024-2025/150158-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),KUSMI BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-07,259942.0,False,Works Completed.csv
3269,Normal/Others,WS/MP18109/2024-2025/150156-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),TANSAR BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-07,259942.0,False,Works Completed.csv
3270,Normal/Others,WS/MP18109/2024-2025/150155-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),SHANKAR BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-07,259942.0,False,Works Completed.csv
3271,Normal/Others,WS/MP18109/2024-2025/150154-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),GOTARA BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-07,259942.0,False,Works Completed.csv
3272,Normal/Others,WS/MP18109/2024-2025/150153-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BHADAURA BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-07,259942.0,False,Works Completed.csv
3273,Normal/Others,WS/MP18109/2024-2025/150157-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),RAUHAL BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-08,259942.0,False,Works Completed.csv
3274,Normal/Others,WS/MP18109/2024-2025/150164-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),PATHRAULA BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-08,259942.0,False,Works Completed.csv
3275,Normal/Others,WS/MP18109/2024-2025/150137-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),BARMANI BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-10-13,259942.0,False,Works Completed.csv
3276,Normal/Others,WS/MP18109/2024-2025/150152-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),KAMACHH BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-07,259942.0,False,Works Completed.csv
3277,Normal/Others,WS/MP18109/2024-2025/150151-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),PONDI BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-08,259942.0,False,Works Completed.csv
3278,Normal/Others,WS/MP18109/2024-2025/150162-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),NEBUHA BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-08,259942.0,False,Works Completed.csv
3279,Normal/Others,WS/MP18109/2024-2025/150161-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),CHAMRADOL BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-08,259942.0,False,Works Completed.csv
3280,Normal/Others,WS/MP18109/2024-2025/150159-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),SONGARH BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-08,259942.0,False,Works Completed.csv
3281,Normal/Others,WS/MP18109/2024-2025/150165-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),SAHIJANHA BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-08,259942.0,False,Works Completed.csv
3282,Normal/Others,WS/MP18109/2024-2025/150160-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),MAJHIGAWAN BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-08,259942.0,False,Works Completed.csv
3283,Normal/Others,WS/MP18109/2024-2025/150163-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),TALA BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-08,259942.0,False,Works Completed.csv
3284,Normal/Others,WS/MP18109/2024-2025/150166-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),SHIKRA BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-08,259942.0,False,Works Completed.csv
3285,Normal/Others,WS/MP18109/2024-2025/150168-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),MAHKHOR BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-08,259942.0,False,Works Completed.csv
3286,Normal/Others,WS/MP18109/2024-2025/150167-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),TIKRI BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-08,259942.0,False,Works Completed.csv
3287,Normal/Others,WS/MP18109/2024-2025/150169-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,SIDHI(DISTRICT COLLECTOR SIDHI_IDA),MADWAS BUS STAND KE PAS,DR. RAJESH MISHRA,SIDHI,,2025-11-08,259942.0,False,Works Completed.csv
3288,Normal/Others,WS/MP18006/2024-2025/141505-Construction of rooms and halls in school and colleges,Andhra Pradesh,CHITTOOR(DISTRICT COLLECTOR CHITTOOR_IDA),"Minor Repairs to Govt. SW Girls Hostel in G.D.Nellore of G.D.Nellore Mandal, G.D.Nellore Constituency.",DAGGUMALLA PRASADA RAO,CHITTOOR,Images,2025-02-24,499447.0,False,Works Completed.csv
3289,Normal/Others,WS/MP823/2024-2025/139552-Construction of culverts and bridges,West Bengal,NADIA(DISTRICT MAGISTRATE NADIA_IDA),"Construction of Cross Drain Near Sadhon Mondal and Dilip Ghosh House under Dogachhia GP, Nakashipara Block, Nadia.",Ms Mahua Moitra,KRISHNANAGAR,Images,2025-02-24,399842.0,False,Works Completed.csv
3290,Normal/Others,WS/MP18101/2024-2025/163180-Purchase of mobile water tankers,Madhya Pradesh,DAMOH(DISTRICT COLLECTOR DAMOH_IDA),GRAM PANCHAYAT BHATIYA ME 5000 LRT PANI KE TENKAR KI KHAREED,RAHUL SINGH LODHI,DAMOH,Images,2025-02-24,198724.0,False,Works Completed.csv
