sr_no,work_category,work,state,ida,work_description,honble_members_of_parliament,constituency,image,completion_date,amount_disbursed_rupees,amount_disbursed_rupees_invalid_negative,source_dataset
20782,Normal/Others,"WS/MP812/2025-2026/211036-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),GP BHISWA LALA MATHIYA ME RADHE SHARMA KE KHET NAHAR PUL SE MADHUSHUDHAN KE GHAR TAK INTERLOKING NIRMAN KARRY,Vijay Kumar Dubey,KUSHI NAGAR,Images,2026-02-12,498051.0,False,Works Completed.csv
20783,Normal/Others,"WS/MP487/2025-2026/227666-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,ALIGARH(DISTRICT MAGISTRATE ALIGARH_IDA),S. No 26 Gram Singharpur me Keshav Sevadham me 55 Mt Interloking Nirman Karya or 90Mt Fensing Taar May Pol se kath,Shri Satish Kumar Gautam,ALIGARH,,2026-02-10,410967.0,False,Works Completed.csv
20784,Normal/Others,"WS/MP812/2025-2026/204812-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),MAHMADA ZAMEEN SIKATIYA BLOCK MOTICHAK ME SUBHAS GUPTA KE KHET SE RAMJANAKI MANDIR JANE WALE MARG PAR INTERLOKING NIRMAN KARRY,Vijay Kumar Dubey,KUSHI NAGAR,Images,2026-02-12,846868.0,False,Works Completed.csv
20785,Normal/Others,WS/MP18064/2024-2025/156702-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Haryana,KAITHAL(DC CUM NODAL OFFICERS MPLADS),Construction of shed in shamshan ghat,NAVEEN JINDAL,KURUKSHETRA,Images,2026-03-10,200000.0,False,Works Completed.csv
20786,Normal/Others,"WS/MP812/2025-2026/206833-Construction of roads, link roads, pathways or any other road with or without drainage system",Uttar Pradesh,Kushinagar(DISTRICT MAGISTRATE KUSHINAGAR PADRAUNA_IDA),GP PACH PHERA BLOCK BISHUNPURA ME SHIV NATH GOND KE GHAR SE ARJUN CHAUHAN KE GHAR JANE WALE MARG PAR CC ROAD NIRMAN KARRY,Vijay Kumar Dubey,KUSHI NAGAR,Images,2026-02-19,1197100.0,False,Works Completed.csv
20787,Normal/Others,"WS/MP343/2025-2026/199586-Purchase of IT systems, including hardware and software for educational purposes",Kerala,THIRUVANANTHAPURAM(DISTRICT COLLECTOR THIRUVANANTHAPURAM_IDA),"Purchase if digital classroom equipment, furniture and sports equipment for PTP MVHSS Maruthoorkonam",Dr Shashi Tharoor,THIRUVANANTHAPURAM,,2025-11-18,799842.0,False,Works Completed.csv
20788,Normal/Others,WS/MP18064/2025-2026/156700-Construction of common work sheds/ common covered sitting area,Haryana,KAITHAL(DC CUM NODAL OFFICERS MPLADS),Construction of Iron/tin shed in Gram Sachivalya (30*45),NAVEEN JINDAL,KURUKSHETRA,Images,2026-03-10,329999.0,False,Works Completed.csv
20789,Normal/Others,WS/MP18177/2025-2026/205954-Street lights,Tamil Nadu,ERODE(DISTRICT_COLLECTORE_ERODE_IDA),"Installation of 9 Mtr (Hight Mast Light) small tower Electric Light near the front of Government Higher Secondary School in Ward No. 4,6,7 in Unjalur Town Panchayat(1 Nos) (2025-26)",K E PRAKASH,ERODE,,2025-11-18,450000.0,False,Works Completed.csv
20790,Normal/Others,WS/MP761/2025-2026/221178-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),"Providing LED High mast light near Mallanna temple, Peddapur (V) Metpally (M)",Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20791,Normal/Others,WS/MP883/2025-2026/154991-Construction of water tanks,Bihar,SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA),PRAKHAND MOHANPUR PANCHAYAT JALALPUR KE UTKRAMIT MADHAY VIDHALAY JALALPUR ME SAMUDAYIK PEYJAL PANI TANKI (WATER ATM) BHAWAN KE SATH NIRMAN,Nityanand Rai,UJJARPUR,Images,2025-11-18,321770.0,False,Works Completed.csv
20792,Normal/Others,WS/MP18158/2025-2026/205041-Crematoriums/energy efficient crematoriums or structures on burial/cremation ground,Punjab,PATIALA(DEPUTY COMMISSIONER PATIALA_IDA),Construction of Shed in crematorium in village kheri Musalmani,DR DHARAMVIRA GANDHI,PATIALA,Images,2026-08-29,200000.0,False,Works Completed.csv
20793,Normal/Others,"WS/MP18324/2025-2026/220763-Construction of roads, link roads, pathways or any other road with or without drainage system",Gujarat,AMRELI(DISTRICT COLLECTOR AMRELI_IDA),"In the old village of Dhamel, there is block paving work in Bhikhabhai Mulani market and Mapaji Chauhan market.",BHARATBHAI MANUBHAI SUTARIYA,AMRELI,Images,2025-11-19,250000.0,False,Works Completed.csv
20794,Normal/Others,WS/MP761/2025-2026/220982-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Providing LED High mast in Oddera colony,Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20795,Normal/Others,WS/MP761/2025-2026/220980-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Providing LED High mast light near Vempet Chowrastha,Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20796,Normal/Others,WS/MP761/2025-2026/221156-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Providing LED High mast light near Chinthalpet Chowrastha,Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20797,Normal/Others,WS/MP18186/2025-2026/212299-Installing tube-wells and borewells,Tamil Nadu,THIRUVALLUR(DISTRICT COLLECTOR TIRUVALLUR_IDA),"Providing New Borewell at Govt hr.Sec.School, Veppampattu Panchayat in Tiruvallur Block.",Sasikanth Senthil,TIRUVALLUR(SC),Images,2025-11-18,299183.0,False,Works Completed.csv
20798,Normal/Others,WS/MP761/2025-2026/220978-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Providing LED High mast light near Shivaji Statue,Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20799,Normal/Others,WS/MP761/2025-2026/220981-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Providing LED High mast light near Alluri Sitharamaraju Thanda Chowrastha,Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20800,Normal/Others,WS/MP761/2025-2026/220943-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Providing LED High mast light near Dabba Hanuman Mandiram,Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20801,Repair and Renovation,WS/MP18314/2025-2026/191000-Construction of additional rooms and halls in the existing public and community building,Punjab,SANGRUR(DEPUTY COMMISSIONER SANGRUR_IDA),For Repair Development Extansion Work of Ravidas Dharmshala Village Dhuri,GURMEET SINGH MEET HAYER,SANGRUR,Images,2026-02-04,200000.0,False,Works Completed.csv
20802,Normal/Others,WS/MP761/2025-2026/220942-Street lights,Telangana,Jagitial(DISTRICT COLLECTOR JAGTIAL_IDA),Providing LED High mast light near Nandhi Chowrastha,Arvind Dharmapuri,NIZAMABAD,,2025-11-18,135000.0,False,Works Completed.csv
20803,Normal/Others,"WS/MP18379/2025-2026/194617- Providing sports equipment, except consumable items",Jammu And Kashmir,KUPWARA(Deputy Commissioner Kupwara_IDA),Providing of Sports gear for Sports clubs of Trehgam AC,ABDUL RASHID SHEIKH,BARAMULLAH,,2025-11-24,196968.0,False,Works Completed.csv
20804,Normal/Others,"WS/MP417/2025-2026/214987-Construction of roads, link roads, pathways or any other road with or without drainage system",Bihar,NALANDA(DISTRICT PLANNING OFFICER NALANDA_IDA),Biharsharif block ke ward 48 biharsharif nagar nigam me Siya Gop ke ghar se Ekangar - Bihar main road tak pcc dhalai.,Kaushalendra Kumar,NALANDA,Images,2025-11-18,399232.0,False,Works Completed.csv
20805,Repair and Renovation,WS/MP18116/2025-2026/202343-Construction of footpaths and pedestrian ways,Maharashtra,THANE(DISTRICT COLLECTOR THANE_IDA),"Paver Block, Gutter and create pathway at ward no.4, near Nitin Apartment area.",BALYA MAMA SURESH GOPINATH MHATRE,BHIWANDI,Images,2026-01-27,1498932.0,False,Works Completed.csv
20806,Normal/Others,WS/MP440/2025-2026/161061-Lighting of public spaces,Kerala,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Mini Mast Light at Kozhikkottiri Angadipparambu Urappanangad Centre Ward-5 in Muthuthala Grama Panchayath.,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,,2026-01-06,185609.0,False,Works Completed.csv
20807,Normal/Others,"WS/MP18379/2025-2026/194616- Providing sports equipment, except consumable items",Jammu And Kashmir,KUPWARA(Deputy Commissioner Kupwara_IDA),Providing of Sports gear for Sports clubs of Lolab AC,ABDUL RASHID SHEIKH,BARAMULLAH,Images,2025-11-22,293750.0,False,Works Completed.csv
20808,Normal/Others,WS/MP440/2025-2026/161062-Lighting of public spaces,Kerala,PALAKKAD(DISTRICT COLLECTOR PALAKKAD_IDA),Mini Mast Light at Pallippuram Road Mill Centre Ward-15 in Muthutala Grama Panchayath.,Vellalath Kochukrishnan Nair Sreekandan,PALAKKAD,,2026-01-06,185609.0,False,Works Completed.csv
20809,Normal/Others,"WS/MP18379/2025-2026/194615- Providing sports equipment, except consumable items",Jammu And Kashmir,KUPWARA(Deputy Commissioner Kupwara_IDA),Providing of Sports gear for Sports clubs of KarnahAC,ABDUL RASHID SHEIKH,BARAMULLAH,Images,2025-11-19,151110.0,False,Works Completed.csv
