sr_no,state,honble_members_of_parliaments,constituency,allocated_amount_rupees,allocated_amount_rupees_invalid_negative,source_dataset
247,Telangana,Kishan Reddy Gangapuram,SECUNDERABAD,147000000.0,False,Allocated_Limit.csv
248,Uttar Pradesh,KISHORI LAL,AMETHI,171500000.0,False,Allocated_Limit.csv
249,Telangana,KONDA VISHWESHWAR REDDY,CHELVELLA,233721420.96,False,Allocated_Limit.csv
250,Karnataka,KOTA SRINIVAS POOJARY,UDUPI CHIKMAGALUR,147000000.0,False,Allocated_Limit.csv
251,Assam,Kripanath Mallah,KARIMGANJ (SC),147000000.0,False,Allocated_Limit.csv
252,Haryana,Krishan Pal Gurjar,FARIDABAD,147000000.0,False,Allocated_Limit.csv
253,Uttar Pradesh,KRISHNA DEVI SHIVSHANKER PATEL,BANDA,147000000.0,False,Allocated_Limit.csv
254,Andhra Pradesh,Krishna Prasad Tenneti,BAPATLA,167796849.11,False,Allocated_Limit.csv
255,Tripura,KRITI DEVI DEBBARMAN,TRIPURA EAST(ST),147000000.0,False,Allocated_Limit.csv
256,Rajasthan,KULDEEP INDORA,GANGANAGAR(SC),147000000.0,False,Allocated_Limit.csv
257,Telangana,KUNDURU RAGHUVEER,NALGONDA,162952022.0,False,Allocated_Limit.csv
258,Uttar Pradesh,LALJI VERMA,AMBEDKAR NAGAR,147000000.0,False,Allocated_Limit.csv
259,Andhra Pradesh,Lavu Sri Krishna Devarayalu,NARASARAOPET,174009663.11,False,Allocated_Limit.csv
260,Uttar Pradesh,LAXMIKANT PAPPU NISHAD,SANT KABIR NAGAR,147000000.0,False,Allocated_Limit.csv
261,Bihar,LOVELY ANAND,SHEOHAR,147000000.0,False,Allocated_Limit.csv
262,Rajasthan,LUMBARAM,JALORE,147000000.0,False,Allocated_Limit.csv
263,Karnataka,M. MALLESH BABU,KOLAR(SC),147065957.11,False,Allocated_Limit.csv
264,Tamil Nadu,M.K. VISHNUPRASAD,CUDDALORE,147000000.0,False,Allocated_Limit.csv
265,Andhra Pradesh,Maddila Gurumoorthy,TIRUPATI(SC),180399007.0,False,Allocated_Limit.csv
266,Telangana,MADHAVANENI RAGHUNANDAN RAO,MEDAK,147000000.0,False,Allocated_Limit.csv
267,Andhra Pradesh,Magunta Sreenivasulu Reddy,ONGOLE,147000000.0,False,Allocated_Limit.csv
268,Madhya Pradesh,Mahendra Singh Solanky,DEWAS(SC),147000000.0,False,Allocated_Limit.csv
269,Chhattisgarh,MAHESH KASHYAP,BASTAR(ST),147000000.0,False,Allocated_Limit.csv
270,Uttar Pradesh,Mahesh Sharma,GAUTAM BUDDHA NAGAR,148816284.11,False,Allocated_Limit.csv
271,Rajasthan,MAHIMA KUMARI MEWAR,RAJSAMAND,183892143.0,False,Allocated_Limit.csv
272,Uttarakhand,Mala Rajya Laxmi Shah,TEHRI GARHWAL,147000000.0,False,Allocated_Limit.csv
273,West Bengal,Mala Roy,KOLKATA DAKSHIN,147000000.0,False,Allocated_Limit.csv
274,Tamil Nadu,MALAIYARASAN D,KALLAKURICHI,201599593.0,False,Allocated_Limit.csv
275,Odisha,MALVIKA DEVI,KALAHANDI,147000000.0,False,Allocated_Limit.csv
276,Punjab,MALVINDER SINGH KANG,ANANDPUR SAHIB,147000000.0,False,Allocated_Limit.csv
277,Tamil Nadu,MANI. A.,DHARAMAPURI,164515071.11,False,Allocated_Limit.csv
278,Tamil Nadu,Manickam Tagore B,VIRUDHUNAGAR,147000000.0,False,Allocated_Limit.csv
279,Jharkhand,MANISH JAISWAL,HAZARIBAGH,147000000.0,False,Allocated_Limit.csv
280,Chandigarh,MANISH TEWARI,CHANDIGARH,178351443.75,False,Allocated_Limit.csv
281,Rajasthan,MANJU SHARMA,JAIPUR,167082901.11,False,Allocated_Limit.csv
282,Rajasthan,MANNA LAL RAWAT,UDAIPUR(ST),147000000.0,False,Allocated_Limit.csv
283,Haryana,MANOHAR LAL,KARNAL,147000000.0,False,Allocated_Limit.csv
284,Bihar,MANOJ KUMAR,SASARAM(SC),147000000.0,False,Allocated_Limit.csv
285,West Bengal,MANOJ TIGGA,ALIPURDUARS(ST),147000000.0,False,Allocated_Limit.csv
286,Delhi,Manoj Tiwari,NORTH EAST DELHI,225843858.0,False,Allocated_Limit.csv
287,Gujarat,Mansukhbhai Dhanjibhai Vasava,BHARUCH,147000000.0,False,Allocated_Limit.csv
288,Jammu And Kashmir,MIAN ALTAF AHMAD,ANANTNAG,147000000.0,False,Allocated_Limit.csv
289,Andhra Pradesh,Midhun Reddy,RAJAMPET,178951477.11,False,Allocated_Limit.csv
290,Bihar,MISHA BHARTI,PATALIPUTRA,147000000.0,False,Allocated_Limit.csv
291,Gujarat,Mitesh Rameshbhai Bakabhai Patel,ANAND,147000000.0,False,Allocated_Limit.csv
292,Ladakh,Mohamed Haneefa,LADAKH,161114542.0,False,Allocated_Limit.csv
293,Uttar Pradesh,MOHIBBULLAH,RAMPUR,147000000.0,False,Allocated_Limit.csv
294,Maharashtra,MOHITE PATIL DHAIRYASHEEL RAJSINH,MADHA,195613601.7,False,Allocated_Limit.csv
295,Bihar,Mr Gopal Jee Thakur,DARBHANGA,147000000.0,False,Allocated_Limit.csv
296,West Bengal,Ms Mahua Moitra,KRISHNANAGAR,159865046.0,False,Allocated_Limit.csv
297,Lakshadweep,MUHAMMED HAMDULLAH SAYEED,LAKSHADWEEP(ST),153942460.41,False,Allocated_Limit.csv
298,Uttar Pradesh,Mukesh Rajput,FARRUKHABAD,147000000.0,False,Allocated_Limit.csv
299,Gujarat,MUKESHKUMAR CHANDRAKAANT DALAL,SURAT,147000000.0,False,Allocated_Limit.csv
300,Rajasthan,MURARI LAL MEENA,DAUSA(ST),147000000.0,False,Allocated_Limit.csv
301,Tamil Nadu,MURASOLI S,THANJAVUR,147000000.0,False,Allocated_Limit.csv
302,Maharashtra,MURLIDHAR MOHOL,PUNE,147000000.0,False,Allocated_Limit.csv
303,Odisha,NABA CHARAN MAJHI,MAYURBHANJ (ST),147563957.11,False,Allocated_Limit.csv
304,Jharkhand,NALIN SOREN,DUMKA(ST),147364097.11,False,Allocated_Limit.csv
305,Uttar Pradesh,NARAYAN DAS AHIRWAR,JALAUN(SC),147000000.0,False,Allocated_Limit.csv
306,Maharashtra,NARAYAN TATU RANE,RATNAGIRI-SINDHUDURG,147000000.0,False,Allocated_Limit.csv
307,Uttar Pradesh,NARESH CHANDRA UTTAM PATEL,FATEHPUR,147000000.0,False,Allocated_Limit.csv
308,Maharashtra,NARESH GANPAT MHASKE,THANE,147000000.0,False,Allocated_Limit.csv
309,Haryana,NAVEEN JINDAL,KURUKSHETRA,147000000.0,False,Allocated_Limit.csv
310,Uttar Pradesh,NEERAJ MAURYA,AONLA,147000000.0,False,Allocated_Limit.csv
311,Maharashtra,NILESH DNYANDEV LANKE,AHMEDNAGAR,147000000.0,False,Allocated_Limit.csv
312,Gujarat,NIMUBEN JAYANTIBHAI BAMBHANIYA,BHAVNAGAR,147000000.0,False,Allocated_Limit.csv
313,Jharkhand,Nishikant Dubey,GODDA,147000000.0,False,Allocated_Limit.csv
314,Maharashtra,Nitin Jairam Gadkari,NAGPUR,168195086.11,False,Allocated_Limit.csv
315,Bihar,Nityanand Rai,UJJARPUR,147000000.0,False,Allocated_Limit.csv
316,Rajasthan,Om Birla,KOTA,163906956.6,False,Allocated_Limit.csv
317,Maharashtra,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,OSMANABAD,184758519.11,False,Allocated_Limit.csv
318,Karnataka,P C Mohan,BANGALORE CENTRAL,159995711.11,False,Allocated_Limit.csv
319,Uttar Pradesh,Pankaj Chowdhary,MAHARAJGANJ_UP,147000000.0,False,Allocated_Limit.csv
320,Assam,PARIMAL SUKLABAIDYA,SILCHAR,148300157.11,False,Allocated_Limit.csv
321,Gujarat,PARSHOTTAMBHAI RUPALA,RAJKOT,147000000.0,False,Allocated_Limit.csv
322,West Bengal,PARTHA BHOWMICK,BARRACKPUR,147000000.0,False,Allocated_Limit.csv
323,Karnataka,Parvatagouda Chandanagouda Gaddigoudar,BAGALKOT,167541747.11,False,Allocated_Limit.csv
324,The Dadra And Nagar Haveli And Daman And Diu,PATEL UMESHBHAI BABUBHAI,DAMAN and DIU,245063957.0,False,Allocated_Limit.csv
325,West Bengal,PATHAN YUSUF,BAHARAMPUR,147000000.0,False,Allocated_Limit.csv
326,Assam,PHANI BHUSAN CHOUDHURY,BARPETA,147000000.0,False,Allocated_Limit.csv
327,Maharashtra,Piyush Vedprakash Goyal,MUMBAI NORTH,147000000.0,False,Allocated_Limit.csv
328,Andhra Pradesh,PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),147000000.0,False,Allocated_Limit.csv
329,Gujarat,Prabhubhai Nagarbhai Vasava,BARDOLI(ST),147000000.0,False,Allocated_Limit.csv
330,Assam,Pradan Baruah,LAKHIMPUR,147000000.0,False,Allocated_Limit.csv
331,Bihar,Pradeep Kumar Singh,ARARIA,147000000.0,False,Allocated_Limit.csv
332,Odisha,PRADEEP PUROHIT,BARGARH,147000000.0,False,Allocated_Limit.csv
333,Assam,Pradyut Bordoloi,NOWGONG,98000000.0,False,Allocated_Limit.csv
334,Karnataka,Pralhad Venkatesh Joshi,DHARWAD,147000000.0,False,Allocated_Limit.csv
335,Maharashtra,PRANITI SUSHILKUMAR SHINDE,SOLAPUR(SC),147000000.0,False,Allocated_Limit.csv
336,West Bengal,Prasun Banerjee,HOWRAH,147000000.0,False,Allocated_Limit.csv
337,Odisha,Pratap Chandra Sarangi,BALASORE,147064254.11,False,Allocated_Limit.csv
338,Maharashtra,Prataprao Jadhav,BULDHANA,147000000.0,False,Allocated_Limit.csv
339,West Bengal,Pratima Mondal,JOYNAGAR(SC),147000000.0,False,Allocated_Limit.csv
340,Delhi,Praveen Khandelwal,CHANDINI CHOWK,147470276.0,False,Allocated_Limit.csv
341,Uttar Pradesh,PRAVEEN PATEL,PHULPUR,151559884.09,False,Allocated_Limit.csv
342,Uttar Pradesh,PRIYA SAROJ,MACHHLISHAHR(SC),147000000.0,False,Allocated_Limit.csv
343,Kerala,Priyanka Gandhi Vadra,WAYANAD,122500000.0,False,Allocated_Limit.csv
344,Karnataka,PRIYANKA SATISH JARKIHOLI,CHIKKODI,147000000.0,False,Allocated_Limit.csv
345,West Bengal,Prof Sougata Ray,DUM DUM,147000000.0,False,Allocated_Limit.csv
346,Uttar Pradesh,Prof SP Singh Baghel,AGRA(SC),147000000.0,False,Allocated_Limit.csv
347,Uttar Pradesh,PUSHPENDRA SAROJ,KAUSHAMBI(SC),147000000.0,False,Allocated_Limit.csv
348,Andhra Pradesh,Putta Mahesh Kumar,ELURU,147000000.0,False,Allocated_Limit.csv
349,Uttar Pradesh,R.K. CHAUDHARY,MOHANLALGANJ(SC),147000000.0,False,Allocated_Limit.csv
350,Odisha,RABINDRA NARAYAN BEHERA,JAJPUR(SC),147064617.11,False,Allocated_Limit.csv
351,West Bengal,RACHNA BANERJEE,HOOGHLY,147000000.0,False,Allocated_Limit.csv
352,Bihar,Radha Mohan Singh,PURVI CHAMPARAN,147000000.0,False,Allocated_Limit.csv
353,Karnataka,RADHAKRISHNA,GULBARGA(SC),147000000.0,False,Allocated_Limit.csv
354,Chhattisgarh,RADHE SHYAM RATHIYA,RAIGARH(ST),159706972.09,False,Allocated_Limit.csv
355,Uttar Pradesh,RAHUL GANDHI,RAE BARELI,147000000.0,False,Allocated_Limit.csv
356,Rajasthan,Rahul Kaswan,CHURU,147000000.0,False,Allocated_Limit.csv
357,Madhya Pradesh,RAHUL SINGH LODHI,DAMOH,163058785.37,False,Allocated_Limit.csv
358,Bihar,RAJ BHUSHAN CHOUDHARY,MUZAFFARPUR,147000000.0,False,Allocated_Limit.csv
359,Rajasthan,RAJ KUMAR ROAT,BANSWARA(ST),147000000.0,False,Allocated_Limit.csv
360,Bihar,RAJA RAM SINGH,KARAKAT,147000000.0,False,Allocated_Limit.csv
361,Maharashtra,RAJABHAU,NASHIK,152878682.11,False,Allocated_Limit.csv
362,Himachal Pradesh,RAJEEV BHARDWAJ,KANGRA,179388967.11,False,Allocated_Limit.csv
363,Uttar Pradesh,RAJEEV RAI,GHOSI,147000000.0,False,Allocated_Limit.csv
364,Bihar,RAJESH RANJAN ALIAS PAPPU YADAV,PURNEA,147000000.0,False,Allocated_Limit.csv
365,Bihar,RAJESH VERMA,KHAGARIA,147000000.0,False,Allocated_Limit.csv
366,Gujarat,Rajeshbhai Naranbhai Chudasama,JUNAGADH,147000000.0,False,Allocated_Limit.csv
367,Bihar,Rajiv Pratap Rudy,SARAN,147000000.0,False,Allocated_Limit.csv
368,Bihar,Rajiv Ranjan (Lalan) Singh,MUNGER,147000000.0,False,Allocated_Limit.csv
369,Uttar Pradesh,Rajkumar Chahar,FATEHPUR SIKRI,147000000.0,False,Allocated_Limit.csv
370,Uttar Pradesh,Rajnath Singh,LUCKNOW,154808797.11,False,Allocated_Limit.csv
371,Gujarat,RAJPALSINH MAHENDRASINH JADAV,PANCHMAHAL,147000000.0,False,Allocated_Limit.csv
372,West Bengal,Raju Bista,DARJEELING,147000000.0,False,Allocated_Limit.csv
373,Uttar Pradesh,RAKESH RATHOR,SITAPUR,147000000.0,False,Allocated_Limit.csv
374,Assam,RAKIBUL HUSSAIN,DHUBRI,147000000.0,False,Allocated_Limit.csv
375,Uttar Pradesh,RAM PRASAD CHAUDHARY,BASTI,204176957.11,False,Allocated_Limit.csv
376,Uttar Pradesh,Ram Shiromani,SHRAWASTI,151746878.11,False,Allocated_Limit.csv
377,Telangana,RAMASAHAYAM RAGHURAM REDDY,KHAMMAM,147000000.0,False,Allocated_Limit.csv
378,Uttar Pradesh,RAMASHANKAR RAJBHAR,SALEMPUR,160056927.07,False,Allocated_Limit.csv
379,Uttar Pradesh,RAMBHUAL NISHAD,SULTANPUR,151231957.11,False,Allocated_Limit.csv
380,Uttar Pradesh,RAMESH AWASTHI,KANPUR,147000000.0,False,Allocated_Limit.csv
381,Karnataka,Ramesh Chandappa Jigajinagi,BIJAPUR(SC),269500000.0,False,Allocated_Limit.csv
382,Bihar,Ramprit Mandal,JHANJHARPUR,147000000.0,False,Allocated_Limit.csv
383,Delhi,Ramvir Singh Bidhuri,SOUTH DELHI,147559100.0,False,Allocated_Limit.csv
384,Assam,RANJIT DUTTA,Sonitpur,147000000.0,False,Allocated_Limit.csv
385,Haryana,Rao Inderjit Singh,GURGAON,147000000.0,False,Allocated_Limit.csv
386,Rajasthan,Rao Rajendra Singh,JAIPUR RURAL,147000000.0,False,Allocated_Limit.csv
387,Bihar,Ravi Shankar Prasad,PATNA SAHIB,147000000.0,False,Allocated_Limit.csv
388,Maharashtra,RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,147000000.0,False,Allocated_Limit.csv
389,Uttar Pradesh,Ravindra Shyamnarayan Alias Ravi Kishan Shukla,GORAKHPUR,147000000.0,False,Allocated_Limit.csv
390,Maharashtra,Ravindra Vasantrao Chavan,NANDED,147000000.0,False,Allocated_Limit.csv
391,Mizoram,RICHARD VANLALHMANGAIHA,MIZORAM (ST),147000000.0,False,Allocated_Limit.csv
392,Tamil Nadu,ROBERT BRUCE C,TIRUNELVELI,147475440.11,False,Allocated_Limit.csv
393,Madhya Pradesh,Rodmal Nagar,RAJGARH,147000000.0,False,Allocated_Limit.csv
394,Chhattisgarh,ROOP KUMARI CHOUDHARY,MAHASAMUND,153035414.0,False,Allocated_Limit.csv
395,Uttar Pradesh,RUCHI VIRA,MORADABAD,147000000.0,False,Allocated_Limit.csv
396,Odisha,RUDRA NARAYAN PANY,DHENKANAL,155013957.11,False,Allocated_Limit.csv
397,Nagaland,S SUPONGMEREN JAMIR,NAGALAND,147000000.0,False,Allocated_Limit.csv
398,Tamil Nadu,S Venkatesan,MADURAI,147000000.0,False,Allocated_Limit.csv
399,Tamil Nadu,S. Jagathrakshakan,ARAKKONAM,180589332.34,False,Allocated_Limit.csv
400,Tamil Nadu,SACHITHANANTHAM R,DINDIGUL,147000000.0,False,Allocated_Limit.csv
401,Karnataka,SAGAR ESHWAR KHANDRE,BIDAR,147000000.0,False,Allocated_Limit.csv
402,Meghalaya,SALENG A SANGMA,TURA,147000000.0,False,Allocated_Limit.csv
403,Odisha,SAMBIT PATRA,PURI,147000000.0,False,Allocated_Limit.csv
404,Uttar Pradesh,SANATAN PANDEY,BALLIA,180420041.4,False,Allocated_Limit.csv
405,Maharashtra,SANJAY DINA PATIL,MUMBAI NORTH EAST,147000000.0,False,Allocated_Limit.csv
406,Maharashtra,Sanjay Haribhau Jadhav,PARBHANI,147000000.0,False,Allocated_Limit.csv
407,Bihar,Sanjay Jaiswal,PASCHIM CHAMPARAN,147000000.0,False,Allocated_Limit.csv
408,Telangana,Sanjay Kumar Bandi,KARIMNAGAR,172775317.11,False,Allocated_Limit.csv
409,Jharkhand,Sanjay Seth,RANCHI,147064357.11,False,Allocated_Limit.csv
410,Maharashtra,Sanjay Uttamrao Deshmukh,YAVATMAL-WASHIM,185640423.0,False,Allocated_Limit.csv
411,Rajasthan,SANJNA JATAV,BHARATPUR(SC),147000000.0,False,Allocated_Limit.csv
412,Chhattisgarh,Santosh Pandey,RAJNANDGAON,147000000.0,False,Allocated_Limit.csv
413,Odisha,Saptagiri Sankar Ulaka,KORAPUT(ST),269500000.0,False,Allocated_Limit.csv
414,Punjab,SARABJEET SINGH KHALSA,FARIDKOT(SC),150850348.15,False,Allocated_Limit.csv
415,Tamil Nadu,Sasikanth Senthil,TIRUVALLUR(SC),171500000.0,False,Allocated_Limit.csv
416,Haryana,SATPAL BRAHAMCHARI,SONEPAT,147000000.0,False,Allocated_Limit.csv
417,West Bengal,Saumitra khan,BISHNUPUR(SC),147000000.0,False,Allocated_Limit.csv
418,Madhya Pradesh,SAVITRI THAKUR,DHAR(ST),147000000.0,False,Allocated_Limit.csv
419,West Bengal,SAYANI GHOSH,JADAVPUR,147000000.0,False,Allocated_Limit.csv
420,Haryana,SELJA,SIRSA(SC),147000000.0,False,Allocated_Limit.csv
421,Tamil Nadu,SELVAGANAPATHI T M,SALEM,147000000.0,False,Allocated_Limit.csv
422,Tamil Nadu,SELVARAJ V,NAGAPATTINAM(SC),147000000.0,False,Allocated_Limit.csv
423,Kerala,SHAFI PARAMBIL,VADAKARA,147000000.0,False,Allocated_Limit.csv
424,Bihar,SHAMBHAVI,SAMASTIPUR(SC),147000000.0,False,Allocated_Limit.csv
425,Madhya Pradesh,Shankar Lalwani,INDORE,147000000.0,False,Allocated_Limit.csv
426,Uttar Pradesh,SHASHANK MANI,DEORIA,147000000.0,False,Allocated_Limit.csv
427,West Bengal,Shatrughan Sinha,ASANSOL,147000000.0,False,Allocated_Limit.csv
428,Punjab,SHER SINGH GHUBAYA,FIROZPUR,147000000.0,False,Allocated_Limit.csv
429,Madhya Pradesh,SHIVMANGAL SINGH TOMAR,MORENA,147000000.0,False,Allocated_Limit.csv
430,Madhya Pradesh,SHIVRAJ SINGH CHOUHAN,VIDISHA,147000000.0,False,Allocated_Limit.csv
431,Karnataka,SHOBHA KARANDLAJE,BANGALORE NORTH,147000000.0,False,Allocated_Limit.csv
432,Gujarat,SHOBHANABEN MAHENDRASINH BARAIYA,SABARKANTHA,147000000.0,False,Allocated_Limit.csv
433,Karnataka,SHREYAS. M. PATEL,HASSAN,147000000.0,False,Allocated_Limit.csv
434,Haryana,Shri Dharambir Singh,BHIWANI MAHENDRAGARH,147000000.0,False,Allocated_Limit.csv
435,West Bengal,Shri Abhishek Banerjee,DIAMOND HARBOUR,147000000.0,False,Allocated_Limit.csv
436,Punjab,Shri Amar Singh,FATEHGARH SAHIB(SC),147000000.0,False,Allocated_Limit.csv
437,Gujarat,Shri Amit Shah,GANDHINAGAR,147000000.0,False,Allocated_Limit.csv
438,Madhya Pradesh,Shri Anil Firojiya,UJJAIN(SC),147000000.0,False,Allocated_Limit.csv
439,Rajasthan,Shri Arjun Ram Meghwal,BIKANER(SC),147000000.0,False,Allocated_Limit.csv
440,Uttar Pradesh,Shri Arun Kumar Sagar,SHAHJAHANPUR(SC),147000000.0,False,Allocated_Limit.csv
441,Karnataka,Shri B Y Raghavendra,SHIMOGA,147000000.0,False,Allocated_Limit.csv
442,Kerala,Shri Benny Behanan,CHALAKUDY,164674770.11,False,Allocated_Limit.csv
443,Odisha,Shri Bhartruhari Mahtab,CUTTACK,147000000.0,False,Allocated_Limit.csv
444,Jharkhand,Shri Chandra Prakash Choudhary,GIRIDIH,147000000.0,False,Allocated_Limit.csv
445,West Bengal,Shri Deepak (Dev) Adhikari,GHATAL,200747364.0,False,Allocated_Limit.csv
446,Punjab,Shri Gurjeet Singh Aujla,AMRITSAR,147000000.0,False,Allocated_Limit.csv
447,Rajasthan,Shri Hanuman Beniwal,NAGAUR,147000000.0,False,Allocated_Limit.csv
448,Kerala,Shri Hibi Eden,ERNAKULAM,162177260.11,False,Allocated_Limit.csv
449,Bihar,Shri Janardan Singh Sigriwal,MAHARAJGANJ_BR,147000000.0,False,Allocated_Limit.csv
450,Odisha,Shri Jual Oram,SUNDARGARH (ST),173096756.91,False,Allocated_Limit.csv
451,Jammu And Kashmir,Shri Jugal Kishore Sharma,JAMMU,147000000.0,False,Allocated_Limit.csv
452,West Bengal,Shri Jyotirmay Singh Mahato,PURULIA,147000000.0,False,Allocated_Limit.csv
453,Tamil Nadu,Shri Karti P Chidambaram,SIVAGANGA,159049284.11,False,Allocated_Limit.csv
454,Kerala,Shri Kumbakudi Sudhakaran,KANNUR,147000000.0,False,Allocated_Limit.csv
455,Karnataka,Shri LS Tejasvi Surya,BANGALORE SOUTH,147000000.0,False,Allocated_Limit.csv
456,Kerala,Shri M K Raghavan,KOZHIKODE,147000000.0,False,Allocated_Limit.csv
457,Uttar Pradesh,Shri Narendra Modi,VARANASI,162070276.11,False,Allocated_Limit.csv
458,Kerala,Shri NK Premachandran,KOLLAM,171477994.11,False,Allocated_Limit.csv
459,Rajasthan,Shri PP Chaudhary,PALI,147000000.0,False,Allocated_Limit.csv
460,Kerala,Shri Rajmohan Unnithan,KASARAGOD,156754633.11,False,Allocated_Limit.csv
461,Assam,Shri Sarbananda Sonowal (18LS),DIBRUGARH,147000000.0,False,Allocated_Limit.csv
462,Uttar Pradesh,Shri Satish Kumar Gautam,ALIGARH,147000000.0,False,Allocated_Limit.csv
463,West Bengal,Shri Shantanu Thakur,BANGAON(SC),147000000.0,False,Allocated_Limit.csv
464,Madhya Pradesh,Shri Sudheer Gupta,MANDSOUR,148988014.83,False,Allocated_Limit.csv
465,Kerala,Shri Suresh Kodikunnil,MAVELIKKARA(SC),172429519.11,False,Allocated_Limit.csv
466,Arunachal Pradesh,Shri Tapir Gao,ARUNACHAL EAST,147000000.0,False,Allocated_Limit.csv
467,Tamil Nadu,Shri vijayakumar Vasanth,KANNIYAKUMARI,171500000.0,False,Allocated_Limit.csv
468,Maharashtra,Shrikant Eknath Shinde,KALYAN,147000000.0,False,Allocated_Limit.csv
469,Maharashtra,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,SATARA,147000000.0,False,Allocated_Limit.csv
470,Goa,Shripad Yesso Naik,NORTH GOA,147000000.0,False,Allocated_Limit.csv
471,Maharashtra,Shrirang Appa Barne,MAVAL,147000000.0,False,Allocated_Limit.csv
472,Maharashtra,Shyamkumar,RAMTEK(SC),147000000.0,False,Allocated_Limit.csv
473,Andhra Pradesh,Sivanath Kesineni,VIJAYAWADA,147000000.0,False,Allocated_Limit.csv
474,West Bengal,SK NURUL ISLAM,BASIRHAT,49000000.0,False,Allocated_Limit.csv
475,Maharashtra,SMITA UDAY WAGH,JALGAON,148107373.11,False,Allocated_Limit.csv
476,Uttar Pradesh,Smt Anupriya Patel,MIRZAPUR,147000000.0,False,Allocated_Limit.csv
477,Odisha,Smt Aparajita Sarangi,BHUBANESWAR,147420861.41,False,Allocated_Limit.csv
478,Uttar Pradesh,Smt Dimple Yadav,MAINPURI,192042469.11,False,Allocated_Limit.csv
479,Punjab,Smt Harsimrat Kaur Badal,BHATINDA,159775982.39,False,Allocated_Limit.csv
480,Uttar Pradesh,Smt Hema Malini,MATHURA,147000000.0,False,Allocated_Limit.csv
481,Madhya Pradesh,Smt Himadri Singh,SHAHDOL (ST),150724861.11,False,Allocated_Limit.csv
482,Gujarat,Smt Poonamben Hematbhai Maadam,JAMNAGAR,147000000.0,False,Allocated_Limit.csv
483,Maharashtra,Smt Raksha Nikhil Khadse,RAVER,153112586.11,False,Allocated_Limit.csv
484,Tamil Nadu,Smt S Jothimani,KARUR,147000000.0,False,Allocated_Limit.csv
485,West Bengal,Smt Sajda Ahmed,ULUBERIA,147000000.0,False,Allocated_Limit.csv
486,Madhya Pradesh,Smt Sandhya Ray,BHIND(SC),147000000.0,False,Allocated_Limit.csv
487,Odisha,Smt Sangeeta Kumari Singh Deo,BOLANGIR,147000000.0,False,Allocated_Limit.csv
488,West Bengal,Smt Satabdi Roy (Banerjee),BIRBHUM,147000000.0,False,Allocated_Limit.csv
489,Maharashtra,Smt Supriya Sadanand Sule,BARAMATI,147000000.0,False,Allocated_Limit.csv
490,Bihar,Smt Veena Devi,VAISHALI,147000000.0,False,Allocated_Limit.csv
491,Andhra Pradesh,Sribharat MathuKumli,VISAKHAPATNAM,164841922.0,False,Allocated_Limit.csv
492,Bihar,SUDAMA PRASAD,ARRAH,147000000.0,False,Allocated_Limit.csv
493,Tamil Nadu,SUDHA R,MAYILADUTHURAI,147332315.11,False,Allocated_Limit.csv
494,Bihar,SUDHAKAR SINGH,BUXAR,185211956.54,False,Allocated_Limit.csv
495,West Bengal,Sudip Bandyopadhyay,KOLKATA UTTAR,147000000.0,False,Allocated_Limit.csv
496,Odisha,SUKANTA KUMAR PANIGRAHI,KANDHAMAL,190712424.11,False,Allocated_Limit.csv
497,Jharkhand,SUKHDEO BHAGAT,LOHARDAGA(ST),171821957.11,False,Allocated_Limit.csv
498,Punjab,SUKHJINDER SINGH RANDHAWA,GURDASPUR,147000000.0,False,Allocated_Limit.csv
499,Karnataka,SUNIL BOSE,CHAMARAJANAGAR(SC),147000000.0,False,Allocated_Limit.csv
500,Maharashtra,Sunil Dattatray Tatkare,RAIGAD,147000000.0,False,Allocated_Limit.csv
501,Bihar,Sunil Kumar,VALMIKI NAGAR,147000000.0,False,Allocated_Limit.csv
502,Bihar,SURENDRA PRASAD YADAV,JAHANABAD,155325714.0,False,Allocated_Limit.csv
503,Kerala,SURESH GOPI,THRISSUR,147000000.0,False,Allocated_Limit.csv
504,Himachal Pradesh,Suresh Kumar Kashyap,SHIMLA (SC),153563957.11,False,Allocated_Limit.csv
505,Telangana,SURESH KUMAR SHETKAR,ZAHIRABAD,147000000.0,False,Allocated_Limit.csv
506,Uttar Pradesh,Swami Sachchidanandhari Sakshi ji Maharaj,UNNAO,147000000.0,False,Allocated_Limit.csv
507,Tamil Nadu,T Sumathy (A) Thamizhachi Thangapandian,CHENNAI SOUTH,147000000.0,False,Allocated_Limit.csv
508,Andhra Pradesh,TANGELLA UDAY SRINIVAS,KAKINADA,199417886.76,False,Allocated_Limit.csv
509,Uttar Pradesh,TANUJ PUNIA,BARABANKI(SC),148198170.11,False,Allocated_Limit.csv
510,Bihar,TARIQ ANWAR,KATIHAR,147000000.0,False,Allocated_Limit.csv
511,Tamil Nadu,Thalikkottai Rajuthevar Baalu,SRIPERUMBUDUR,196905535.11,False,Allocated_Limit.csv
512,Tamil Nadu,THANGA TAMILSELVAN,THENI,147000000.0,False,Allocated_Limit.csv
513,Tamil Nadu,THARANIVENTHAN M S,ARANI,168337124.35,False,Allocated_Limit.csv
514,Tamil Nadu,Thiru Dayanidhi Maran,CHENNAI CENTRAL,147000000.0,False,Allocated_Limit.csv
